	System	SnomedCtCode	Equivalence	LocalCode	UZ	RU	EN			
	http://snomed-info/sct	260089005	"   source-is-narrower-than-target	"	aller-0010-00001	Ajiriq (Cyn d)	Свинорой пальчатый (Cyn d)	Cyn d			
	http://snomed-info/sct	260089005	"   source-is-narrower-than-target	"	aller-0010-00003	Ajiriq (Cyn d 1)	Свинорой пальчатый (Cyn d 1)	Cyn d 1			
	http://snomed-info/sct	256280005	"   source-is-narrower-than-target	"	aller-0010-00004	Koʻp yillik mastak (Lol p 1)	Плевел многолетний (Lol p 1)	Lol p 1			
	http://snomed-info/sct	260102000	"   source-is-narrower-than-target	"	aller-0010-00005	Paspalum/grechka (Pas n)	Паспалум/гречка заметная (Pas n)	Paspalum/conspicuous buckwheat (Pas n)			
	http://snomed-info/sct	256281009	"   source-is-narrower-than-target	"	aller-0010-00006	Ajiriqbosh (Phl p 1)	Тимофеевка луговая (Phl p 1)	Timothy grass (Phl p 1)			
	http://snomed-info/sct	256281009	"   source-is-narrower-than-target	"	aller-0010-00007	Ajiriqbosh (Phl p 2)	Тимофеевка луговая (Phl p 2)	Timothy grass (Phl p 2)			
	http://snomed-info/sct	256281009	"   source-is-narrower-than-target	"	aller-0010-00008	Ajiriqbosh (Phl p 5-0101)	Тимофеевка луговая (Phl p 5-0101)	Timothy grass (Phl p 5-0101)			
	http://snomed-info/sct	256281009	"   source-is-narrower-than-target	"	aller-0010-00009	Ajiriqbosh (Phl p 6)	Тимофеевка луговая (Phl p 6)	Timothy grass (Phl p 6)			
	http://snomed-info/sct	256281009	"   source-is-narrower-than-target	"	aller-0010-00010	Ajiriqbosh (Phl p 7)	Тимофеевка луговая (Phl p 7)	Timothy grass (Phl p 7)			
	http://snomed-info/sct	256281009	"   source-is-narrower-than-target	"	aller-0010-00011	Ajiriqbosh (Phl p 12)	Тимофеевка луговая (Phl p 12)	Timothy grass (Phl p 12)			
	http://snomed-info/sct	387873003	"   source-is-narrower-than-target	"	aller-0010-00012	Qamish (Phr c)	Тростник (Phr c)	Reed (Phr c)			
	http://snomed-info/sct	387878007	"   source-is-narrower-than-target	"	aller-0010-00013	Javdar changi (Sec c pollen)	Рожь, пыльца (Sec c pollen)	Rye, pollen (Sec c pollen)			
	http://snomed-info/sct	260132008	    source-is-broader-than-target	aller-0010-00015	Kumush akatsiya (Aca m)	Акация серебристая (Aca m)	Silver acacia (Aca m)			
	http://snomed-info/sct	472736009	"   source-is-narrower-than-target	"	aller-0010-00016	Baland aylant (Ail a)	Айлант высочайший (Ail a)	Ailanthus altissima (Ail a)			
	http://snomed-info/sct	69545006	"   source-is-narrower-than-target	"	aller-0010-00017	Qandagʻoch (Aln g 1)	Ольха (Aln g 1)	Alder (Aln g 1)			
	http://snomed-info/sct	69545006	"   source-is-narrower-than-target	"	aller-0010-00018	Qandagʻoch (Aln g 4)	Ольха (Aln g 4)	Alder (Aln g 4)			
	http://snomed-info/sct	710898000	"   source-is-narrower-than-target	"	aller-0010-00019	Serbuqoq qayin (Bet v 1)	Берёза повислая (Bet v 1)	Bet v 1			
	http://snomed-info/sct	710898000	"   source-is-narrower-than-target	"	aller-0010-00020	Serbuqoq qayin (Bet v 2)	Берёза повислая (Bet v 2)	Bet v 2			
	http://snomed-info/sct	710898000	"   source-is-narrower-than-target	"	aller-0010-00021	Serbuqoq qayin (Bet v 6)	Берёза повислая (Bet v 6)	Bet v 6			
	http://snomed-info/sct	472732006	"   source-is-narrower-than-target	"	aller-0010-00022	Qogʻozdaraxt (tut) (Bro pa)	Бумажная шелковица (Bro pa)	Paper mulberry (Bro pa)			
	http://snomed-info/sct	387980002	"   source-is-narrower-than-target	"	aller-0010-00023	Oʻrmon yongʻogʻi (Cor a_pollen)	Орешник (Лещина) (Cor a_pollen)	Hazel (Cor a_pollen)			
	http://snomed-info/sct	387980002	"   source-is-narrower-than-target	"	aller-0010-00024	Oʻrmon yongʻogʻi (Cor a 1-0103)	Орешник (Лещина) (Cor a 1-0103)	Hazel (Cor a 1-0103)			
	http://snomed-info/sct	260130000	"   source-is-narrower-than-target	"	aller-0010-00025	Yapon kriptomeriyasi (Cry j 1)	Криптомерия японская (Cry j 1)	Cryptomeria japonica (Cry j 1)			
	http://snomed-info/sct	1268858004	"   source-is-narrower-than-target	"	aller-0010-00026	Sarv (Cup a 1)	Кипарис (Cup a 1)	Cypress (Cup a 1)			
	http://snomed-info/sct	387940006	"   source-is-narrower-than-target	"	aller-0010-00027	Sarv (Cup s)	Кипарис (Cup s)	Cypress (Cup s)			
	http://snomed-info/sct	428572005	"   source-is-narrower-than-target	"	aller-0010-00028	Qoraqayin (Fag s 1)	Бук (Fag s 1)	Beech (Fag s 1)			
	http://snomed-info/sct	1264513008	"   source-is-narrower-than-target	"	aller-0010-00029	Shumtol (Fra e)	Ясень (Fra e)	Ash (Fra e)			
	http://snomed-info/sct	1264513008	"   source-is-narrower-than-target	"	aller-0010-00030	Shumtol (Fra e 1)	Ясень (Fra e 1)	Ash (Fra e 1)			
	http://snomed-info/sct	1264473004	"   source-is-narrower-than-target	"	aller-0010-00031	Yongʻoq changi (Jug r_pollen)	Грецкий орех, пыльца (Jug r_pollen)	Walnut, pollen (Jug r_pollen)			
	http://snomed-info/sct	260142005	"   source-is-narrower-than-target	"	aller-0010-00032	Kedr (Jun a)	Кедр (Jun a)	Cedar (Jun a)			
	http://snomed-info/sct	227434002	"   source-is-narrower-than-target	"	aller-0010-00033	Tut (Mor r)	Шелковица (Mor r)	Mulberry (Mor r)			
	http://snomed-info/sct	387926005	"   source-is-narrower-than-target	"	aller-0010-00034	Zaytun (Ole e 1)	Олива (Ole e 1)	Olive (Ole e 1)			
	http://snomed-info/sct	387926005	"   source-is-narrower-than-target	"	aller-0010-00035	Zaytun (Ole e 9)	Олива (Ole e 9)	Olive (Ole e 9)			
	http://snomed-info/sct	227423000	"   source-is-narrower-than-target	"	aller-0010-00036	Xurmo daraxti (Pho d 2)	Финиковая пальма (Pho d 2)	Date palm (Pho d 2)			
	http://snomed-info/sct	387929003	"   source-is-narrower-than-target	"	aller-0010-00037	Chinor (Pla a 1)	Платан кленолистный (Pla a 1)	Plane maple (Pla a 1)			
	http://snomed-info/sct	387929003	"   source-is-narrower-than-target	"	aller-0010-00038	Chinor (Pla a 2)	Платан кленолистный (Pla a 2)	Plane tree (Pla a 2)			
	http://snomed-info/sct	387929003	"   source-is-narrower-than-target	"	aller-0010-00039	Chinor (Pla a 3)	Платан кленолистный (Pla a 3)	Plane tree (Pla a 3)			
	http://snomed-info/sct	256269005	"   source-is-narrower-than-target	"	aller-0010-00040	Terak (Pop n)	Тополь (Pop n)	Poplar (Pop n)			
	http://snomed-info/sct	1285422007	"   source-is-narrower-than-target	"	aller-0010-00041	Qayragʻoch (Ulm c)	Вяз (Ulm c)	Elm (Ulm c)			
	http://snomed-info/sct	260113002	"   source-is-narrower-than-target	"	aller-0010-00043	Oddiy olabuta (Ama r)	Обыкновенная марь (Ama r)	Common goosefoot (Ama r)			
	http://snomed-info/sct	698721004	"   source-is-narrower-than-target	"	aller-0010-00044	Ambroziya (Amb a)	Амброзия (Amb a)	Ragweed (Amb a)			
	http://snomed-info/sct	698721004	"   source-is-narrower-than-target	"	aller-0010-00045	Ambroziya (Amb a 1)	Амброзия (Amb a 1)	Ragweed (Amb a 1)			
	http://snomed-info/sct	698721004	"   source-is-narrower-than-target	"	aller-0010-00046	Ambroziya (Amb a 4)	Амброзия (Amb a 4)	Ragweed (Amb a 4)			
	http://snomed-info/sct	256293000	"   source-is-narrower-than-target	"	aller-0010-00047	Shuvoq (Art v)	Полынь (Art v)	Wormwood (Art v)			
	http://snomed-info/sct	256293000	"   source-is-narrower-than-target	"	aller-0010-00048	Shuvoq (Art v 1)	Полынь (Art v 1)	Wormwood (Art v 1)			
	http://snomed-info/sct	256293000	"   source-is-narrower-than-target	"	aller-0010-00049	Shuvoq (Art v 3)	Полынь (Art v 3)	Wormwood (Art v 3)			
	http://snomed-info/sct	16292008	"   source-is-narrower-than-target	"	aller-0010-00050	Nasha (Can s)	Конопля (Can s)	Hemp (Can s)			
	http://snomed-info/sct	16292008	"   source-is-narrower-than-target	"	aller-0010-00051	Nasha (Can s 3)	Конопля (Can s 3)	Hemp (Can s 3)			
	http://snomed-info/sct	1285421000	"   source-is-narrower-than-target	"	aller-0010-00052	Oq olabuta (Che a)	Марь белая (Che a)	White goosefoot (Che a)			
	http://snomed-info/sct	1285421000	"   source-is-narrower-than-target	"	aller-0010-00053	Oq olabuta (Che a 1)	Марь белая (Che a 1)	White goosefoot (Che a 1)			
	http://snomed-info/sct	12926008	"   source-is-narrower-than-target	"	aller-0010-00054	Bir yillik prolesnik(Mer a 1)	Пролесник однолетний (Mer a 1)	Annual wood-snow (Mer a 1)			
	http://snomed-info/sct	710904007	"   source-is-narrower-than-target	"	aller-0010-00055	Postennitsa (Par j)	Постенница (Par j)	Wallflower (Par j)			
	http://snomed-info/sct	710904007	"   source-is-narrower-than-target	"	aller-0010-00056	Postennitsa (Par j 2)	Постенница (Par j 2)	Wallflower (Par j 2)			
	http://snomed-info/sct	256294006	"   source-is-narrower-than-target	"	aller-0010-00057	Zubturum (Pla l)	Подорожник (Pla l)	Plantain (Pla l)			
	http://snomed-info/sct	256294006	"   source-is-narrower-than-target	"	aller-0010-00058	Zubturum (Pla l 1)	Подорожник (Pla l 1)	Plantain (Pla l 1)			
	http://snomed-info/sct	260111000	"   source-is-narrower-than-target	"	aller-0010-00059	Shoʻrak (Sal k)	Солянка (Sal k)	Salwort (Sal k)			
	http://snomed-info/sct	260111000	"   source-is-narrower-than-target	"	aller-0010-00060	Shoʻrak (Sal k 1)	Солянка (Sal k 1)	Salwort (Sal k 1)			
	http://snomed-info/sct	256298009	"   source-is-narrower-than-target	"	aller-0010-00061	Gazanda (Urt d)	Крапива (Urt d)	Nettle (Urt d)			
	http://snomed-info/sct	703951002	    source-is-broader-than-target	aller-0010-00064	Amerika uy changi kanasi (Der f 1)	Американский клещ домашней пыли (Der f 1)	American house dust mite (Der f 1)			
	http://snomed-info/sct	703951002	    source-is-broader-than-target	aller-0010-00065	Amerika uy changi kanasi (Der f 2)	Американский клещ домашней пыли (Der f 2)	American house dust mite (Der f 2)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00066	Yevropa uy changi kanasi (Der p 1)	Европейский клещ домашней пыли (Der p 1)	European house dust mite (Der p 1)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00067	Yevropa uy changi kanasi (Der p 2)	Европейский клещ домашней пыли (Der p 2)	European house dust mite (Der p 2)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00068	Yevropa uy changi kanasi (Der p 5)	Европейский клещ домашней пыли (Der p 5)	European house dust mite (Der p 5)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00069	Yevropa uy changi kanasi (Der p 7)	Европейский клещ домашней пыли (Der p 7)	European house dust mite (Der p 7)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00070	Yevropa uy changi kanasi (Der p 10)	Европейский клещ домашней пыли (Der p 10)	European house dust mite (Der p 10)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00071	Yevropa uy changi kanasi (Der p 11)	Европейский клещ домашней пыли (Der p 11)	European house dust mite (Der p 11)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00072	Yevropa uy changi kanasi (Der p 20)	Европейский клещ домашней пыли (Der p 20)	European house dust mite (Der p 20)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00073	Yevropa uy changi kanasi (Der p 21)	Европейский клещ домашней пыли (Der p 21)	European house dust mite (Der p 21)			
	http://snomed-info/sct	703952009	"   source-is-narrower-than-target	"	aller-0010-00074	Yevropa uy changi kanasi (Der p 23)	Европейский клещ домашней пыли (Der p 23)	European house dust mite (Der p 23)			
	http://snomed-info/sct	388231000	    source-is-broader-than-target	aller-0010-00076	Un kanasi (Aca s)	Амбарный или мучной клещ (Acarus siro) (Aca s)	Barn or flour mite (Acarus siro) (Aca s)			
	http://snomed-info/sct	388232007	    source-is-broader-than-target	aller-0010-00077	Uy changi kanasi Blomia tropicalis (Blo t 5)	Клещ домашней пыли Blomia tropicalis (Blo t 5)	House dust mite Blomia tropicalis (Blo t 5)			
	http://snomed-info/sct	388232007	"   source-is-narrower-than-target	"	aller-0010-00078	Uy changi kanasi Blomia tropicalis (Blo t 10)	Клещ домашней пыли Blomia tropicalis (Blo t 10)	House dust mite Blomia tropicalis (Blo t 10)			
