Code,Code,Uz,Ru,Eng,,,,Uz,Ru,Eng,,category 
emdoc-0010-0001,001,Tibbiy muassasaga kelganlarni qayd jurnali,"Журнал регистрации лиц, обратившихся в медицинское учреждение",Register of persons who visited (presented to) a medical facility,,,,001 Tibbiy muassasaga kelganlarni qayd jurnali,"001 Журнал регистрации лиц, обратившихся в медицинское учреждение",001 Register of persons who visited (presented to) a medical facility,,Журнал
emdoc-0010-0002,002,Chaqaloqlar bo‘limi xona jurnali,Журнал палат (отделения) новорождённых,Ward (room) register of the newborn unit,,,,002 Chaqaloqlar bo‘limi xona jurnali,002 Журнал палат (отделения) новорождённых,002 Ward (room) register of the newborn unit,,Журнал
emdoc-0010-0003,003,BEMORNING TIBBIY KARTASI №,Медицинская карта пациента №,Patient Medical Record №,,,,003 BEMORNING TIBBIY KARTASI №,003 Медицинская карта пациента №,003 Patient Medical Record №,,Мед. Карта
emdoc-0010-0004,003-1,Homiladorlikni vaqtidan oldin tugatish,Досрочное прерывание беременности,Early termination of pregnancy,,,,003-1 Homiladorlikni vaqtidan oldin tugatish,003-1 Досрочное прерывание беременности,003-1 Early termination of pregnancy,,Мед. Карта
emdoc-0010-0005,004,O‘tkazilgan narkozlarni qayd etish,Регистрация проведённых наркозов,Recording of administered anesthesia,,,,004 O‘tkazilgan narkozlarni qayd etish,004 Регистрация проведённых наркозов,004 Recording of administered anesthesia,,Журнал
emdoc-0010-0006,005,Narkoz varaqasi,Лист наркоза,Anesthesia record / Anesthesia sheet,,,,005 Narkoz varaqasi,005 Лист наркоза,005 Anesthesia record / Anesthesia sheet,,Бланк
emdoc-0010-0007,006,Reanimatsiya (xona) va intensiv terapiya,Реанимация (палата) и интенсивная терапия,Resuscitation (ICU room) and intensive care,,,,006 Reanimatsiya (xona) va intensiv terapiya,006 Реанимация (палата) и интенсивная терапия,006 Resuscitation (ICU room) and intensive care,,Мед. Карта
emdoc-0010-0008,007,Bemorning kelib-ketishi va shifoxonaning oʻrin fondini hisobga olib borish varaqasi,Лист учёта движения пациентов и коечного фонда больницы,Patient flow and hospital bed stock tracking sheet,,,,007 Bemorning kelib-ketishi va shifoxonaning oʻrin fondini hisobga olib borish varaqasi,007 Лист учёта движения пациентов и коечного фонда больницы,007 Patient flow and hospital bed stock tracking sheet,,Бланк
emdoc-0010-0009,008,Shifoxonadagi jarrohlik amaliyotini qayd etish,Регистрация хирургических операций в больнице,Recording of surgical operations in the hospital,,,,008 Shifoxonadagi jarrohlik amaliyotini qayd etish,008 Регистрация хирургических операций в больнице,008 Recording of surgical operations in the hospital,,Журнал
emdoc-0010-0010,009,Qon tarkibiy qismlari va preparatlari quyilishini hisobga olish jurnali,Журнал учёта переливания компонентов и препаратов крови,Logbook of transfusion of blood components and products,,,,009 Qon tarkibiy qismlari va preparatlari quyilishini hisobga olish jurnali,009 Журнал учёта переливания компонентов и препаратов крови,009 Logbook of transfusion of blood components and products,,Журнал
emdoc-0010-0011,009-1,Qon quyish komissiyasining xulosasi,Заключение комиссии по переливанию крови,Conclusion of the Blood Transfusion Committee,,,,009-1 Qon quyish komissiyasining xulosasi,009-1 Заключение комиссии по переливанию крови,009-1 Conclusion of the Blood Transfusion Committee,,Бланк
emdoc-0010-0012,009-2,Remo (Plazma) transfuziya bayoni,Протокол трансфузии ремо (плазмы),Remo (plasma) transfusion report,,,,009-2 Remo (Plazma) transfuziya bayoni,009-2 Протокол трансфузии ремо (плазмы),009-2 Remo (plasma) transfusion report,,Бланк
emdoc-0010-0013,009-3,Ortiq qolgan qon,Остаток крови,Remaining blood,,,,009-3 Ortiq qolgan qon,009-3 Остаток крови,009-3 Remaining blood,,Бланк
emdoc-0010-0014,009-4,Yaroqsiz qon komponentlarini yo‘q qilishni qayd etish jurnali,Журнал регистрации уничтожения непригодных компонентов крови,Logbook for recording the disposal of unsuitable blood components,,,,009-4 Yaroqsiz qon komponentlarini yo‘q qilishni qayd etish jurnali,009-4 Журнал регистрации уничтожения непригодных компонентов крови,009-4 Logbook for recording the disposal of unsuitable blood components,,Журнал
emdoc-0010-0015,010,Tug‘ruq bo‘limida tug‘ruqlarni qayd etish,Регистрация родов в родильном отделении,Registration of deliveries in the maternity department,,,,010 Tug‘ruq bo‘limida tug‘ruqlarni qayd etish,010 Регистрация родов в родильном отделении,010 Registration of deliveries in the maternity department,,Журнал
emdoc-0010-0016,096,Tug‘ruq tibbiy kartasi,Медицинская карта родов,Maternity (delivery) medical record,,,,096 Tug‘ruq tibbiy kartasi,096 Медицинская карта родов,096 Maternity (delivery) medical record,,Мед. Карта
emdoc-0010-0017,097,Chaqaloqning rivojlanishi tibbiy kartasi,Медицинская карта развития новорождённого,Newborn development medical record,,,,097 Chaqaloqning rivojlanishi tibbiy kartasi,097 Медицинская карта развития новорождённого,097 Newborn development medical record,,Мед. Карта
emdoc-0010-0018,103,Tug‘ilganlik guvohnomasini qayd etish jurnali,Журнал регистрации свидетельств о рождении,Birth certificate registration logbook,,,,103 Tug‘ilganlik guvohnomasini qayd etish jurnali,103 Журнал регистрации свидетельств о рождении,103 Birth certificate registration logbook,,Журнал
emdoc-0010-0019,106,O‘lim ma’lumotlarini qayd etish,Регистрация сведений о смерти,Registration of death information,,,,106 O‘lim ma’lumotlarini qayd etish,106 Регистрация сведений о смерти,106 Registration of death information,,Журнал
emdoc-0010-0020,106-2,Perinatal o‘lim guvohnomasini qayd etish,Регистрация свидетельства о перинатальной смерти,Perinatal death certificate register,,,,106-2 Perinatal o‘lim guvohnomasini qayd etish,106-2 Регистрация свидетельства о перинатальной смерти,106-2 Perinatal death certificate register,,Журнал
emdoc-0010-0021,103,Tug‘ilganlik haqida guvohnomasi,Свидетельство о рождении,Birth certificate,,,,103 Tug‘ilganlik haqida guvohnomasi,103 Свидетельство о рождении,103 Birth certificate,,Бланк
emdoc-0010-0022,106,O‘lim qayd etilganligik haqida guvohnomasi,Свидетельство о регистрации смерти,Death registration certificate,,,,106 O‘lim qayd etilganligik haqida guvohnomasi,106 Свидетельство о регистрации смерти,106 Death registration certificate,,Бланк
