Code,CVX CODE,МНН,SNOMED,RELATIONSHIP,SNOMED Descriptions,UZ,RU,EN,,,,
immun-1,54,J07AX,871722007,source-is-narrower-than-target,Vaccine product containing only Adenovirus antigen (medicinal product),"Adenovirusga qarshi emlash, 4-toifa, jonli, og'iz orqali","Аденовирусная вакцина, тип 4, живая, пероральная","adenovirus vaccine, type 4, live, oral",,,,http://hl7.org/fhir/ValueSet/vaccine-code
immun-2,55,J07AX,836400005,source-is-narrower-than-target,Adenovirus antigen-containing vaccine product,"Adenovirusga qarshi emlash, 7-toifa, jonli, og'iz orqali","Аденовирусная вакцина, тип 7, живая, пероральная","adenovirus vaccine, type 7, live, oral",,,,https://browser.ihtsdotools.org/?perspective=full&conceptId1=404684003&edition=MAIN/2026-01-01&release=&languages=en
immun-3,  82,J07AX,871722007,equivalent, Vaccine product containing only Adenovirus antigen (medicinal product),"Adenovirusga qarshi emlash, aniqlanmagan","Аденовирусная вакцина, неуточненная формулировка","adenovirus vaccine, unspecified formulation",,,,
immun-4,  24,J07AC01,860818003,equivalent,Vaccine product containing only Bacillus anthracis antigen (medicinal product),"Kuydirgiga qarshi emlash, adsorbsiyalangan, ta'sir qilishdan oldingi va keyingi profilaktika uchun","Вакцина против сибирской язвы, адсорбированная, для пред- и постконтактной профилактики",anthrax vaccine,,,,
immun-5,  19,J07AN01,1861000221106,equivalent,Vaccine product containing only live attenuated Mycobacterium bovis antigen (medicinal product),Bacillus Calmette-Guerin vaktsinasi,Вакцина против бациллы Кальметта-Герина,Bacillus Calmette-Guerin vaccine,,,,
immun-6,  27,J06AA04,774893001,equivalent,Botulinum antitoxin (substance),botulinum antitoksini,ботулинический антитоксин,Botulinum antitoxin (substance),,,,
immun-7,  26,J07AE,  991000221105,equivalent,Vaccine product containing only Vibrio cholerae antigen (medicinal product) ,"vaboga qarshi emlash, aniqlanmagan","холерная вакцина, неуточненная формулировка","cholera vaccine, unspecified formulation",,,,
immun-8,  29,J06BB09,116792006,equivalent,Intravenous infusion of Cytomegalovirus immune globulin (procedure),"sitomegalovirus immunoglobulini, tomir ichiga yuborish","цитомегаловирусный иммуноглобулин, внутривенный","cytomegalovirus immune globulin, intravenous",,,,
immun-9,  56,J07BX03,871720004,source-is-narrower-than-target,Vaccine product containing only Dengue virus antigen (medicinal product) ,"dangga qarshi emlash, to'rt valentli","вакцина против лихорадки денге, четырехвалентная",dengue fever vaccine,,,,
immun-10,  12,J07AF01,412175006,equivalent,Diphtheria antitoxin (substance) ,difteriyaga qarshi toksin,дифтерийный антитоксин,diphtheria antitoxin,,,,
