Pharm_committed ID	Local code	ucum code 	The designation	Unnamed: 4	Naming/	Unnamed: 6	Unnamed: 7
			In Uzbek(Codes)	In russian	In Uzbek	In russian	In English
253		"%	"	%	%	foiz	процент	percent
314		"ng	"	ng	нг	nanogramm	нанограмм	nanogram
303		uL	mkl	мкл	mikrolitr	микролитр	microliter
315		"nL	"	nl	нл	nanolitr	нанолитр	nanoliter
320		Rd	Rd	Рд	rezerford	резерфорд	rutherford
721		Gy	Gr	Гр	grey	грей	gray
286		kCal	kkal	ккал	kilokaloriya	килокалория	kilocalorie
310		mmol	mmol	ммоль	millimol	миллимоль	millimole
304		umol	mkmol	мкмоль	mikromol	микромоль	micromoles
316		nmol	nmol	нмоль	nanomol	наномоль	nanomole
319		osm	Osm	Осм	osmol	осмоль	osmol
313		mosm	mOsm	мОсм	milliosmol	миллиосмоль	
840		%{mass}	%, m	%, m	massa foizi	процент массовый	mass percentage
1220		%{vol}	%, vol	%, vol	hajm foizi	процент объемный	volume percentage
280		[drp]	tomchi	капля	tomchi	капля	drop
264		{fraction}	ulush	доля	ulush	доля	fraction
262		{dose}	doza	доза	doza	доза	dose
287		{Cells}	xujayra	клетка	hujayra	клетка	cell 
306		10*6.{cell}	mln xujayra	млн клеток	mln hujayra	млн клеток	million cells
307		10*9.{cell}	mlrd xujayra	млрд клеток	mlrd hujayra	млрд клеток	billion cells
		{spore}	spora	спора	spora	спора	spore
309		10*9.{spore}	mlrd spor	млрд спор	mlrd spor	млрд спор	billion disputes
259		g/mL	g/ml	г/мл	millilitrda gramm	грамм на миллилитр	gramsPerMilliLiter
298		mg/mL	mg/ml	мг/мл	millilitrda milligramm	миллиграмм на миллилитр	"milliGramsPerMilliLiter	"
302		ug/mL	mkg/ml	мкг/мл	millilitrda mikrogramm	микрограмм на миллилитр	"microGramsPerMilliLiter	"
	mkg/mkl		mkg/mkl	мкг/мкл	mikrolitrda mikrogramm	микрограмм на микролитр	microgram per microliter
296		mg/g	mg/g	мг/г	grammda milligramm	миллиграмм на грамм	"milliGramsPerGram	"
		ug/g	mkg/g	мкг/г	grammda mikrogramm	микрограмм на грамм	"microGramsPerGram	"
		ug/mg	mkg/mg	мкг/мг	milligrammda mikrogramm	микрограмм на миллиграмм	"microGramsPerMilliGram	"
311		mmol/L	mmol/l	ммоль/л	litrda millimol	миллимоль на литр	"milliMolesPerLiter	"
317	ob		OB	ОЕ	optik birlik	оптическая единица	optical unit
282		"cm2	"	kv.sm	кв.см	kvadrat santimetr	квадратный сантиметр	square centimeter
300		mL	ml	мл	millilitr	миллилитр	"milliLiter	"
291		"L	"	l	л	litr	литр	liter
295		"mg	"	mg	мг	milligramm	миллиграмм	milligram
258		g	g	г	gramm	грамм	gramm
301		ug		мкг	mikrogramm	микрограмм	microGram
283		kg	kg	кг	kilogramm	килограмм	kiloGram
261		J	J	Дж	joul	джоуль	joule
284		kJ	kJ	кДж	kilojoul	килоджоуль	kilojoule
260		GBq	GBk	ГБк	gigabekkerel	гигабеккерель	gigabecquerel
281		kBq	kBk	кБк	kilobekkerel	килобеккерель	kilobecquerel
294		MBq	MBk	МБк	megabekkerel	мегабеккерель	megabecquerel
312		mol	mol	моль	mol	моль	mole
257		Bq	Bk	Бк	bekkerel	беккерель	becquerel
252/326		{#}	dona	шт	dona	штука	thing
263		RAD	nurlanish dozasi	доза излучения	oʻrtacha samarali immunizatsiya qilingan doza miqdori	количество среднеэффективных иммунизирующих доз	number of average effective immunizing doses
271		[NTU]	loyqalik birligi	единица мутности	loyqalik birligi	единица мутности	
		[PFU]	PFU	PFU	chechak hosil qiluvchi birlik (tiqin hosil qiluvchi raqam)	оспообразующая единица (бляшкообразующее число)	plaque forming unit
		[Lf]	FB	Lf	flokulyatsiya birligi	флокулирующая единица	limit of flocculation
		{Ph.Eur.U}	Ph.Eur.U.	Ph.Eur.U.	Yevropa farmakopeyasining taʼsir birligi	единица действия Европейской фармакопеи	European Pharmacopoeia unit of action
265		[arb'U]	BFTB	ЕД	biologik faollikning taʼsir birligi	единица действия биологической активности	unit of action of biological activity
	[PNU]	[PNU]	OAB	PNU	oqsil azoti birligi	единица белкового азота	protein nitrogen unit
	[CFU]		KHB	КОЕ	koloniya hosil qiluvchi birlik	колониеобразующая единица	
323		[arb'U]	SHB	УЕ	shartli birlik	условная единица	conventional unit
285		{KIU}	KFB	КИЕ	kallikreinni faolsizlantirish birligi	калликреин инактивирующая единица	kallikrein inactivating unit
293		[arb'U]	LB	ЛЕ	lipoprotein-lipaza birligi	единица липопротеина-липазы	lipoprotein lipase unit
254		[arb'U]	AB	АЕ	antigenik birlik	антигенная единица	antigenic unit
642		[arb'U]	TB	ТЕ	titrlash birligi	титрационная единица	titration unit
	[IU]	[IU]	IE	ИЕ	xalqaro birlik	интернациональная единица	international unit
256		[arb'U]	ATrB	АТрЕ	antitripsin birligi	антитрипсиновая единица	antitrypsin unit
	[tb'U]	[tb'U]	TB	TУ	tuberkulin birligi	туберкулиновая единица	tuberculin unit
279		[ELU]	IFT birl.	ИФА ед	immunoferment tahlili birligi	единица иммуноферментного анализа	enzyme immunoassay unit
255		[anti'Xa'U]	anti-Xa XB	анти-Xa МЕ	antitrombotik taʼsirning xalqaro birligi	международная единица антитромботического действия	international unit of antithrombotic action
322		[TCID_50]	TSD 50	ТЦД 50	toʻqimalarning 50% sitopatik dozasi	50-процентная тканевая цитопатическая доза	50% tissue cytopathic dose
292		{LD_50}	LD 50	ЛД 50	yarimletal doza birligi	единица полулетальной дозы	half-lethal dose unit
266		[ELU]	ELU	ELU	Elayza biologik faolligining taʼsir birligi	единица действия биологической активности Элайза (ELISA)	Elisa biological activity unit (ELISA)
275		[CCID_50]	ID 50	ИД 50	yarim yuqumli doza birligi	единица полуинфицирующей дозы	unit of semi-infectious dose
327		[EID_50]	EID 50	ЭИД 50	yarim patologik oʻzgarishlarning doza birliklari	единицы дозы полупатологоанатомических изменений	units of dose per half of pathological changes
325		[TCID_50]	SPD 50	ЦПД 50	yarimsitopatik taʼsir birligi dozasi	единица дозы полуцитопатического эффекта	unit dose of semi-cytopathic effect
		{MID}	MIDe	МИДэ	minimal infeksion doza	минимальная инфицирующая доза	minimum infectious dose
274		[arb'U]	BB	ЕС	bogʻlash birligi	единица связывания	binding unit
277		[IR]	RI	ИР	reaktivlik indeksi (standartlashtirishning biologik birligi)	индекс реактивности (биологическая единица стандартизации)	reactivity index (biological unit of standardization)
267		[arb'U]	antigen birligi	единица антигена	antigen birligi	единица антигена	antigen unit
	[AU]	[AU]	allergyen birligi	единица аллергена	allergen birligi	единица аллергена	allergen unit
		[arb'U]	QTB	ЛЕД	qurbaqa taʼsiri birligi	лягушачья единица действия	frog action unit
270		[arb'U]/mL	TB/ml	ЕД/мл	millilitrda biologik faollikning taʼsir birligi	единица действия биологической активности на миллилитр	unit of biological activity per milliliter
269		[PNU]/mL	RNU/ml	РNU/мл	millilitrda oqsil azot birligi	единица белкового азота на миллилитр	unit of protein nitrogen per milliliter
278		[IR]/mL	IR/ml	ИР/мл	reaktivlik indeksi (standartizatsiya biologik birligi)/ml	индекс реактивности (биологическая единица стандартизации) на миллилитр	reactivity index (biological unit of standardization) per milliliter
273		[D'ag'U]	D-antigen birligi	Единица D-антигена	D-antigen birligi	единица D-антигена	D antigen unit
							
