https://terminology.dhp.uz/fhir/core/CodeSystem/observation-lab-research-codes-cs/										
CODE	CODE	UZ	RU	ENG						
Код	Лоинк-код	Tadqiqod turi	Тип исследования	Type of researchs						
test-0001-00001	58410-2	Umumiy qon tahlili	Общий анализ крови	CBC panel						
test-0001-00002	6690-2	WBC	WBC	Leukocytes [#/volume] in Blood by Automated count						
test-0001-00003	751-8	Neu#	Neu#	Neutrophils [#/volume] in Blood by Automated count						
test-0001-00004	731-0	Lym#	Lym#	Lymphocytes [#/volume] in Blood by Automated count						
test-0001-00005	742-7	Mon#	Mon#	Monocytes [#/volume] in Blood by Automated count						
test-0001-00006	711-2	Eos#	Eos#	Eosinophils [#/volume] in Blood by Automated count						
test-0001-00007	704-7	Bas#	Bas#	Basophils [#/volume] in Blood by Automated count						
test-0001-00008	770-8	Neu%	Neu%	Neutrophils/100 leukocytes in Blood by Automated count						
test-0001-00009	736-9	Lym%	Lym%	Lymphocytes/100 leukocytes in Blood by Automated count						
test-0001-00010	5905-5	Mon%	Mon%	Monocytes/100 leukocytes in Blood by Automated count						
test-0001-00011	713-8	Eos%	Eos%	Eosinophils/100 leukocytes in Blood by Automated count						
test-0001-00012	706-2	Bas%	Bas%	Basophils/100 leukocytes in Blood by Automated count						
test-0001-00013	789-8	RBC	RBC	Erythrocytes [#/volume] in Blood by Automated count						
test-0001-00014	718-7	HGB	HGB	Hemoglobin [Mass/volume] in Blood						
test-0001-00015	4544-3	HCT	HCT	Hematocrit [Volume Fraction] of Blood by Automated count						
test-0001-00016	787-2	MCV	MCV	MCV [Entitic volume] by Automated count						
test-0001-00017	785-6	MCH	MCH	MCH [Entitic mass] by Automated count						
test-0001-00018	786-4	MCHC	MCHC	MCHC [Mass/volume] by Automated count						
test-0001-00019	788-0	RDW-CV	RDW-CV	Erythrocyte distribution width (RDW-CV) [Ratio] by Automated count						
test-0001-00020	21000-5	RDW-SD	RDW-SD	Erythrocyte distribution width (RDW-SD) [Entitic volume] by Automated count						
test-0001-00021	777-3	PLT	PLT	Platelets [#/volume] in Blood by Automated count						
test-0001-00022	32623-1	MPV	MPV	Mean platelet volume [Entitic volume] in Blood by Automated count						
test-0001-00023	32207-3	PDW	PDW	Platelet distribution width [Entitic volume] in Blood by Automated count						
test-0001-00024	28542-9	PCT	PCT	Plateletcrit [Volume Fraction] of Blood by Automated count						
test-0001-00025	49498-9	P-LCC	P-LCC	Platelet large cell count [#/volume] in Blood by Automated count						
test-0001-00026	49138-3	P-LCR	P-LCR	Platelet large cell ratio [#] in Blood by Automated count						
test-0001-00027	4537-7	ECHT (eritrotsitlarning cho‘kish tezligi)	СОЭ(скорость оседания эритроцитов)	Erythrocyte sedimentation rate (ESR) by Westergren method						
test-0002-00001	34552-5	Qon koagulogrammasi (qon ivish ko‘rsatkichlari)	Коагулограммы крови	Coagulation panel						
test-0002-00002	5901-4	Kvik bo‘yicha protrombin indeksi	Протромбиновый индекс по Квику	Prothrombin activity (Quick) [Ratio] in Platelet poor plasma by Coagulation assay						
test-0002-00003	5902-2	Protrombin vaqti	Протромбиновое время	Prothrombin time (PT) [Time] in Platelet poor plasma by Coagulation assay						
test-0002-00004	6301-6	Xalqaro normallashtirilgan nisbat (INR)	МНО	INR (International normalized ratio) in Platelet poor plasma by Coagulation assay						
test-0002-00005	3244-3	Trombotest	Тромботест	Thrombotest [Interpretation] in Platelet poor plasma						
test-0002-00006	3255-7	Fibrinogen	Фибриноген	Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay						
test-0002-00007	3173-2	Faollashtirilgan qisman tromboplastin vaqti	АЧТВ	Activated partial thromboplastin time (APTT) [Time] in Platelet poor plasma by Coagulation assay						
test-0002-00008	3243-3	Trombin vaqti	Тромбиновое время	Thrombin time (TT) [Time] in Platelet poor plasma by Coagulation assay						
test-0003-00001	11529-5	Sitologik tekshiruv (surtma)	Цитологическое исследование(мазок)	Cytology study of genital specimen by Light microscopy						
test-0003-00002	20408-1	Leykotsitlar	Лейкоциты	Leukocytes [Presence] in Genital specimen by Light microscopy						
test-0003-00003	20407-3	Epitelial hujayralar	Эпителиалные клетки	Epithelial cells [Presence] in Genital specimen by Light microscopy						
test-0003-00004	20409-9	Mikroflora	Микрофлора	Bacteria [Presence] in Genital specimen by Light microscopy						
test-0003-00005	47972-9	Gonokokklar	Гонококки	Neisseria gonorrhoeae [Presence] in Genital specimen by Light microscopy						
test-0003-00006	47973-7	Trichomonadalar	Трихомонады	Trichomonas vaginalis [Presence] in Genital specimen by Light microscopy						
test-0003-00007	20410-7	Zamburug‘lar	Грибы	Yeast [Presence] in Genital specimen by Light microscopy						
test-0004-00001	11529-5	Najasning makroskopik tekshiruvi	Макроскопическое исследование кала	Cytology study of genital specimen by Light microscopy						
test-0004-00002	20408-1	Leykotsitlar	Лейкоциты	Leukocytes [Presence] in Genital specimen by Light microscopy						
test-0004-00003	20407-3	Epitelial hujayralar	Эпителиалные клетки	Epithelial cells [Presence] in Genital specimen by Light microscopy						
test-0004-00004	20409-9	Mikroflora	Микрофлора	Bacteria [Presence] in Genital specimen by Light microscopy						
test-0004-00005	47972-9	Gonokokklar	Гонококки	Neisseria gonorrhoeae [Presence] in Genital specimen by Light microscopy						
test-0004-00006	47973-7	Trichomonadalar	Трихомонады	Trichomonas vaginalis [Presence] in Genital specimen by Light microscopy						
test-0004-00007	20410-7	Zamburug‘lar	Грибы	Yeast [Presence] in Genital specimen by Light microscopy						
test-0005-00001		Najasning mikroskopik tekshiruvi	Микроскопическое исследование кала	Microscopic examination of feces						
test-0005-00002	19116-1	Mushak tolalari: chiziqli	Мышечные волокна:С исчерченностью	Muscle fibers striated [Presence] in Stool by Light microscopy						
test-0005-00003	19117-9	Mushak tolalari: chiziqsiz	Мышечные волокна:Без исчерченности	Muscle fibers non-striated [Presence] in Stool by Light microscopy						
test-0005-00004	19118-7	Biriktiruvchi to‘qima	Соединительная ткань	Connective tissue [Presence] in Stool by Light microscopy						
test-0005-00005	19119-5	Neytral yog‘	Жир нейтральный	Neutral fat [Presence] in Stool by Light microscopy						
test-0005-00006	19120-3	Yog‘ kislotalari	Жирные кислоты	Fatty acids [Presence] in Stool by Light microscopy						
test-0005-00007	19121-1	Sovunlar	Мыла	Soaps [Presence] in Stool by Light microscopy						
test-0005-00008	19122-9	Hazm bo‘ladigan o‘simlik tolasi	Растительная клетчатка перевариваемая	Plant fibers digested [Presence] in Stool by Light microscopy						
test-0005-00009	19123-7	Kraxmal	Крахмал	Starch granules [Presence] in Stool by Light microscopy						
test-0005-00010	19124-5	Yodofil flora	Йодофильная флора	Iodophilic bacteria [Presence] in Stool by Light microscopy						
test-0005-00011	19125-2	Kristallar	Кристаллы	Crystals [Presence] in Stool by Light microscopy						
test-0005-00012	19126-0	Shilliq	Слизь	Mucus [Presence] in Stool by Light microscopy						
test-0005-00013	19127-8	Epiteliy	Эпителий	Epithelial cells [Presence] in Stool by Light microscopy						
test-0005-00014	19128-6	Leykotsitlar	Лейкоциты	Leukocytes [Presence] in Stool by Light microscopy						
test-0005-00015	19129-4	Eritrotsitlar	Эритроциты	Erythrocytes [Presence] in Stool by Light microscopy						
test-0005-00016	19130-2	Eng sodda organizmlar (protozoylar)	Простейшие	Protozoa [Presence] in Stool by Light microscopy						
test-0005-00017	19131-0	Gijja tuxumlari	Яйца глистов	Ova (helminth) [Presence] in Stool by Light microscopy						
test-0005-00018	19132-8	Xamirturush zamburug‘lari	Дрожжевые грибы	Yeast [Presence] in Stool by Light microscopy						
test-0005-00019	6470-9	Najasning mikroskopik kuzatuvi (nam preparat)	Микроскопическое наблюдение кала (влажная препарация)	Microscopic observation [Identifier] in Stool by Wet preparation						
test-0005-00020	649-4	Najasning Gram bo‘yicha bo‘yalgan holda mikroskopiyasi	Микроскопия кала с грам-окраской	Microscopic observation [Identifier] in Stool by Gram stain						
test-0005-00021	6469-1	Najasning trixrom bo‘yicha bo‘yalgan holda mikroskopiyasi	Микроскопия кала с трихром-окраской	Microscopic observation [Identifier] in Stool by Trichrome stain						
test-0005-00022	20884-3	Najasning qorong‘i maydon usuli bilan mikroskopiyasi	Микроскопия кала методом тёмного поля	Microscopic observation [Identifier] in Stool by Dark field examination						
test-0005-00023	10704-5	Yorug‘lik mikroskopiyasi orqali najasda aniqlangan gijja tuxumlari va parazitlar	Яйца и паразиты, выявленные в кале при светлой микроскопии	Ova and parasites identified in Stool by Light microscopy						
test-0006-00001	24357-6	Siydikning makroskopik tekshiruvi	Макроскопическое исследование мочи	Urinalysis macro (dipstick) panel						
test-0006-00002	3167-4	Siydik hajmi	Количество	Urine volume [Volume]						
test-0006-00003	5778-6	Siydik rangi	Цвет	Color of Urine						
test-0006-00004	5767-9	Siydikning tashqi ko‘rinishi	Прозрачность	Appearance of Urine						
test-0006-00005	5811-5	Refraktometriya orqali siydikning solishtirma zichligi	Относительная плотность	Specific gravity of Urine by Refractometry						
test-0006-00006	2756-5	Siydik pH darajasi	Реакция	Urine pH						
test-0006-00007	5804-0	Test-tasma orqali siydikdagi oqsil miqdori	Белок	Protein [Mass/volume] in Urine by Test strip						
test-0006-00008	5792-7	Test-tasma orqali siydikdagi glyukoza miqdori	Глюкоза	Glucose [Mass/volume] in Urine by Test strip						
test-0006-00009	5797-6	Test-tasma orqali siydikdagi ketonlar miqdori	Кетоновые тела	Ketones [Mass/volume] in Urine by Test strip						
test-0006-00010	57751-0	Test-tasma orqali siydikda gemoglobinning mavjudligi	Реакция на наличие крови	Hemoglobin [Presence] in Urine by Test strip						
test-0006-00011	5770-3	Test-tasma orqali siydikda bilirubinning mavjudligi	Билирубин	Bilirubin [Presence] in Urine by Test strip						
test-0006-00012	20405-7	Test-tasma orqali siydikda urobilinogening mavjudligi	Уробилиноген	Urobilinogen [Presence] in Urine by Test strip						
test-0006-00013	14631-0	Siydikda o‘t kislotalarining mavjudligi	Желчные кислоты	Bile acids [Presence] in Urine						
test-0007-00001	12235-8	Siydikning mikroskopik tekshiruvi	Микроскопическое исследование мочи	Microscopic observation [Identifier] in Urine sediment by Light microscopy						
test-0007-00002	12258-0	Epiteliy: yassi	Эпителий: плоский	Epithelial cells.squamous [#/area] in Urine sediment by Microscopy HPF						
test-0007-00003	13654-9	Epiteliy: o‘tuvchi	Эпителий: переходный	Epithelial cells.transitional [#/area] in Urine sediment by Microscopy HPF						
test-0007-00004	12257-2	Epiteliy: buyrak epiteliyasi	Эпителий: почечный	Epithelial cells.renal [#/area] in Urine sediment by Microscopy HPF						
test-0007-00005	20408-1	Leykotsitlar	Лейкоциты	Leukocytes [#/area] in Urine sediment by Microscopy HPF						
test-0007-00006	57986-7	O‘zgargan eritrotsitlar	Эритроциты изменённые	Erythrocytes dysmorphic [#/area] in Urine sediment by Microscopy HPF						
test-0007-00007	20409-9	O‘zgarmagan eritrotsitlar	Эритроциты неизменённые	Erythrocytes [#/area] in Urine sediment by Microscopy HPF						
test-0007-00008	57974-3	Silindrlar: gialinli	Цилиндры: гиалиновые	Casts.hyaline [#/area] in Urine sediment by Microscopy LPF						
test-0007-00009	32162-6	Silindrlar: mumsimon	Цилиндры: восковидные	Casts.waxy [#/area] in Urine sediment by Microscopy LPF						
test-0007-00010	33062-0	Silindrlar: donador	Цилиндры: зернистые	Casts.granular [#/area] in Urine sediment by Microscopy LPF						
test-0007-00011	33061-2	Silindrlar: eritrotsitar	Цилиндры: эритроцитарные	Casts.red blood cells [#/area] in Urine sediment by Microscopy LPF						
test-0007-00012	33060-4	Silindrlar: leykotsitar	Цилиндры: лейкоцитарные	Casts.white blood cells [#/area] in Urine sediment by Microscopy LPF						
