Codes;Eng;Ru;Uzb
252865007;dioptre spheres test +3;Тест сферических линз +3 диоптрии;dioptriyali sferik linzalar testi +3
1507521000168105;0 minute plasma prolactin measurement;Измерение пролактина в плазме через 0 минут;0-daqiqada plazmada prolaktin miqdorini o‘lchash
121348009;1,1,1-Trichloroethane measurement;Измерение 1,1,1-трихлорэтана;1,1,1-trixloretan miqdorini o‘lchash
121349001;1,1-Dichloro-2,2-bis(p-chlorophenyl)ethane measurement;Измерение 1,1-дихлор-2,2-бис(p-хлорфенил)этана;1,1-dixloro-2,2-bis(p-xlorfenil)etan miqdorini o‘lchash
121350001;1,2-Dichlorobenzene measurement;Измерение 1,2-дихлорбензола;1,2-dixlorbenzol miqdorini o‘lchash
121351002;1,2-Dimethylbenzene measurement;Измерение 1,2-диметилбензола;1,2-dimetilbenzol miqdorini o‘lchash
121352009;1,3-Dichlorobenzene measurement;Измерение 1,3-дихлорбензола;1,3-dixlorbenzol miqdorini o‘lchash
121353004;1,3-Dimethylbenzene measurement;Измерение 1,3-диметилбензола;1,3-dimetilbenzol miqdorini o‘lchash
409870009;1,3-beta-D-glucan detection;Выявление 1,3-β-D-глюкана;1,3-beta-D-glyukan miqdorini aniqlash
121354005;1,4-Dichlorobenzene measurement;Измерение 1,4-дихлорбензола;1,4-dixlorbenzol miqdorini o‘lchash
121355006;1,4-Dimethylbenzene measurement;Измерение 1,4-диметилбензола;1,4-dimetilbenzol miqdorini o‘lchash
121260008;1,4-Dioxane measurement;Измерение 1,4-диоксана;1,4-dioksan miqdorini o‘lchash
104436003;1,4-alpha-Glucan branching enzyme measurement;Измерение фермента ветвления 1,4-альфа-глюкана;1,4-alfa-glyukan tarmoqlanish fermenti miqdorini o‘lchash
104437007;1-Methylhistidine measurement;Измерение 1-метилгистидина;1-metilgistidin miqdorini o‘lchash
121356007;1-Naphthol measurement;Измерение 1-нафтола;1-naftol miqdorini o‘lchash
121361009;1-Pentanol measurement;Измерение 1-пентанола;1-pentanol miqdorini o‘lchash
104439005;11-Deoxy/11-oxysteroids measurement;Измерение 11-дезокси/11-оксистероидов;11-dezoksi/11-oksisteroidlar miqdorini o‘lchash
121261007;11-Oxopregnanetriol measurement;Измерение 11-оксопрегнанетриола;11-oksopregnanetriol miqdorini o‘lchash
104629009;11-deoxycorticosteroids challenge tests;Нагрузочные тесты с 11-дезоксикортикостероидами;11-dezoksikortikosteroidlar bilan yuklama testi
104607005;11-deoxycorticosterone measurement;Измерение 11-дезоксикортикостерона;11-dezoksikortikosteron miqdorini o‘lchash
104606001;11-deoxycortisol challenge tests;Нагрузочные тесты с 11-дезоксикортизолом;11-dezoksikortizol bilan yuklama testi
73638008;11-deoxycortisol measurement;Измерение 11-дезоксикортизола;11-dezoksikortizol miqdorini o‘lchash
104440007;11-hydroxyandrostenedione measurement;Измерение 11-гидроксиандростендиона;11-gidroksiandrostendion miqdorini o‘lchash
104441006;11-hydroxyandrosterone measurement;Измерение 11-гидроксиандростерона;11-gidroksiandrosteron miqdorini o‘lchash
104443009;11-ketoandrosterone measurement;Измерение 11-кетоандростерона;11-ketoandrosteron miqdorini o‘lchash
104444003;11-ketoetiocholanolone measurement;Измерение 11-кетоэтиохоланолона;11-ketoetioxolanolon miqdorini o‘lchash
104445002;11-ketopregnanetriol measurement;Измерение 11-кетопрегнанетриола;11-ketopregnanetriol miqdorini o‘lchash
933451531000036104;12 hour urine alpha-1-microglobulin measurement;Измерение альфа-1-микроглобулина в моче за 12 часов;12 soatlik siydikda alfa-1-mikroglobulin miqdorini o‘lchash
268400002;12 lead ECG;12-канальная ЭКГ;12 kanalli EKG
447113005;12 lead ECG at rest;12-канальная ЭКГ в покое;Tinch holatda 12 kanalli EKG
