Код,LOINC,Показатели UZ,Показатели RU,Long common name,Relationship,Единицы,Диапазон
lab-pan-A,,Siydikning makrosopik tekshiruvi,Макроскопическое исследование мочи,Urine macroscopic analysis,,,
lab-pan-1,3167-04-01 00:00:00,Miqdori,Количество,Urine volume [Volume],equivalent,mL,
lab-pan-2,5778-06-01 00:00:00,Rangi,Цвет,Color of Urine,equivalent,,
lab-pan-3,5767-09-01 00:00:00,Shaffofligi,Прозрачность,Appearance of Urine,equivalent,,
lab-pan-4,5811-05-01 00:00:00,Nisbiy zichligi,Относительная плотность,Specific gravity of Urine by Refractometry,equivalent,,
lab-pan-5,2756-05-01 00:00:00,Reaksiya,Реакция,Urine pH,equivalent,,
lab-pan-6,5804-0,Oqsil,Белок,Protein [Mass/volume] in Urine by Test strip,equivalent,г/л или г/%,
lab-pan-7,5792-07-01 00:00:00,Glyukoza,Глюкоза,Glucose [Mass/volume] in Urine by Test strip,equivalent,ммоль/л или г/%,
lab-pan-8,5797-06-01 00:00:00,Keton tanachalari,Кетоновые тела,Ketones [Mass/volume] in Urine by Test strip,equivalent,,
lab-pan-9,57751-0,Qon borligini aniqlash ryeaksiyasi,Реакция на наличие крови,Hemoglobin [Presence] in Urine by Test strip,equivalent,,
lab-pan-10,5770-03-01 00:00:00,Bilirubin,Билирубин,Bilirubin.total [Presence] in Urine by Test strip,equivalent,,
lab-pan-11,20405-7,Urobilinoidlar,Уробилиноген,Urobilinogen [Presence] in Urine by Test strip,equivalent,,
lab-pan-12,43889-5,Oʻt kilotasi,Желчные кислоты,Bile acids [Presence] in Urine,equivalent,,
lab-pan-AA,,Siydikning mikroskopik tekshiruvi,Микроскопическое исследование мочи,,,,
lab-pan-13,12258-0,Epiteliy: yassi,Эпителий: плоский,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy HPF,equivalent,,
lab-pan-14,30089-7,Epiteliy: o‘tuvchi,Эпителий: переходный,Epithelial cells.transitional [#/area] in Urine sediment by Microscopy HPF,equivalent,,
lab-pan-15,105116-8,Epiteliy: buyrak epiteliyasi,Эпителий: почечный,Epithelial cells.renal [#/area] in Urine sediment,equivalent,,
lab-pan-16,20408-1,Leykotsitlar,Лейкоциты,Leukocytes [#/area] in Urine sediment by Microscopy HPF,equivalent,,
lab-pan-17,99862-5,Eritrotsitlar o‘zgargan,Эритроциты изменённые,Erythrocytes.dysmorphic [#/area] in Urine sediment by Computer assisted method,equivalent,,
lab-pan-18,20409-9,Eritrotsitlar o‘zgarmagan,Эритроциты неизменённые,Erythrocytes [#/volume] in Urine by Test strip,equivalent,,
lab-pan-19,5796-08-01 00:00:00,Silindrlar: gialinli,Цилиндры: гиалиновые,Hyaline casts [#/area] in Urine sediment by Microscopy LPF,equivalent,,
lab-pan-20,5819-08-01 00:00:00,Silindrlar: mumsimon,Цилиндры: восковидные,Waxy casts [#/area] in Urine sediment by Microscopy LPF,equivalent,,
lab-pan-21,5793-05-01 00:00:00,Silindrlar: donador,Цилиндры: зернистые,Granular casts [#/area] in Urine sediment by Microscopy LPF,equivalent,,
lab-pan-22,5807-03-01 00:00:00,Silindrlar: eritrotsitar,Цилиндры: эритроцитарные,RBC casts [#/area] in Urine sediment by Microscopy LPF,equivalent,,
lab-pan-23,5820-06-01 00:00:00,Silindrlar: leykotsitar,Цилиндры: лейкоцитарные,WBC casts [#/area] in Urine sediment by Microscopy LPF,equivalent,,
lab-pan-24,5786-09-01 00:00:00,Silindrlar: epitelial,Цилиндры: эпителиальные,Epithelial casts [#/area] in Urine sediment by Microscopy LPF,equivalent,,
lab-pan-25,28545-2,Shilliq,Слизь,Mucus [#/area] in Urine sediment by Microscopy LPF,equivalent,,
lab-pan-26,49755-2,Tuzlar,Соли,Crystals [Presence] in Urine sediment by Light microscopy,source-is-broader-than-target,,
lab-pan-27,5769-05-01 00:00:00,Bakteriyalar,Бактерии,Bacteria [#/area] in Urine sediment by Microscopy HPF,equivalent,,
lab-pan-B,,Najasning makroskopik tekshiruvi,Макроскопическое исследование кала,Macroscopic stool analysis,,,
lab-pan-28,17606-5,Miqdori,Количество,Volume of Stool,equivalent,,
lab-pan-29,11029-6,Konsistensiyasi,Консистенция,Consistency of Stool,equivalent,,
lab-pan-30,29636-8,Shakli,Форма,Appearance of Stool,equivalent,,
lab-pan-31,29636-8,Hidi,Запах,Appearance of Stool,source-is-narrower-than-target,,
lab-pan-32,9397-01-01 00:00:00,Rangi,Цвет,Color of Stool,equivalent,,
