CODE,UZ,RU,EN
#cancr0003.00000,IHC nonspesifik_antikorlari,ИГХ неспецифическое_Антитела,IHC non-specific_Antibodies
#cancr0003.00001,"pS2 (TFF1, Trefoil Factor 1)","pS2 (TFF1, Trefoil Factor 1)","pS2 (TFF1, Trefoil Factor 1)"
#cancr0003.00002,Bcl-2 (B-hujayrali limfoma 2),Bcl-2(B-cell lymphoma 2),Bcl-2(B-cell lymphoma 2)
#cancr0003.00003,P53 (o'simta oqsili 53),P53(Tumor Protein 53),P53(Tumor Protein 53)
#cancr0003.00004,CD3 (oqsil kompleksi),CD3(Комплекс белков),CD3(Protein complex)
#cancr0003.00005,OIV / OITS bilan kasallangan bemorlarda CD4 (glikoprotein).,CD4 (Гликопротеин) у пациентов с ВИЧ/СПИД.,CD4 (Glycoprotein) in patients with HIV/AIDS.
#cancr0003.00006,CD5 (oqsil),CD5( Белок),CD5(Protein)
#cancr0003.00007,CD8 (glikoprotein),CD8 (Гликопротеин),CD8 (Glycoprotein)
#cancr0003.00008,CD10 (membran oqsili),CD10 (Мембранный белок),CD10 (Membrane protein)
#cancr0003.00009,CD15 (sirt antijeni),CD15 (Поверхностный антиген),CD15 (Surface antigen)
#cancr0003.00010,CD20 (B limfotsitlari yuzasida ifodalangan oqsil),"CD20 (Белок, экспрессируемый на поверхности В-лимфоцитов)",CD20 (Protein expressed on the surface of B-lymphocytes)
#cancr0003.00011,CD23 (ba'zi B limfotsitlarida ifodalangan sirt antijeni),"СD23 (Поверхностный антиген, экспрессируемый на некоторых В-лимфоцитах)",CD23 (Surface antigen expressed on some B lymphocytes)
#cancr0003.00012,CD30 (faollashgan limfotsitlarda ifodalangan membrana oqsili),"СD30 (Мембранный белок, экспрессируемый на активированных лимфоцитах)",CD30 (Membrane protein expressed on activated lymphocytes)
#cancr0003.00013,CD79 a (B-hujayra antijeni retseptorlarining tarkibiy qismi bo'lgan oqsil),"СD79 α (Белок, являющийся компонентом B-клеточного антиген-рецептора)",CD79 α (A protein that is a component of the B-cell antigen receptor)
#cancr0003.00014,CD99 (Ewing sarkomasi va boshqa ibtidoiy neyroektodermal o'smalarni tashxislash uchun marker sifatida ishlatiladigan membrana oqsili),"СD99 (Мембранный белок, используемый как маркер для диагностики саркомы Юинга и других примитивных нейроэктодермальных опухолей)",CD99 (A membrane protein used as a marker for the diagnosis of Ewing's sarcoma and other primitive neuroectodermal tumors)
#cancr0003.00015,"CD117 (protein, c-Kit deb ham ataladi)","CD117 (Белок, также известный как c-Kit)",CD117 (A protein also known as c-Kit)
#cancr0003.00016,"CD138 (membran oqsili, sindikan-1 sifatida ham tanilgan)","CD138 (Мембранный белок, также известный как синдикан-1)",CD138 (A membrane protein also known as syndecan-1)
#cancr0003.00017,CD34 (poya va progenitor hujayralarda ifodalangan glikoprotein. Gematopoetik ildiz hujayralarini aniqlash uchun ishlatiladi),"СD34 (Гликопротеин, экспрессируемый на стволовых клетках и клетках-предшественниках. Используется для идентификации гемопоэтических стволовых клеток)",CD34 (A glycoprotein expressed on stem and progenitor cells. Used to identify hematopoietic stem cells)
#cancr0003.00018,CD45 (OLA) (Oq qon hujayralarining barcha turlarida ifodalangan oqsil. Oq qon hujayralarini aniqlash va o'rganish uchun ishlatiladi.,"CD45 (ОЛА) (Белок, экспрессируемый на всех типах лейкоцитов. Используется для идентификации и исследования лейкоцитов",CD45 (OLA) (A protein expressed on all types of white blood cells. Used to identify and study white blood cells
#cancr0003.00019,Pan-B (barcha B hujayralarini aniqlash uchun Pan B hujayra belgisi ishlatiladi),"Pan-B (Пан-В-клеточный маркер, используемый для идентификации всех В-лимфоцитов)",Pan-B (A pan-B cell marker used to identify all B lymphocytes)
#cancr0003.00020,Pan-T Pan-T hujayra belgisi barcha T-limfotsitlarni aniqlash uchun ishlatiladi,"Pan-T Пан-Т-клеточный маркер, используемый для идентификации всех Т-лимфоцитов",Pan-T A pan-T cell marker used to identify all T lymphocytes
#cancr0003.00021,BLA-36 B hujayralari va ba'zi limfomalar uchun maxsus marker.,BLA-36 Специфический маркер для B-клеток и некоторых лимфом.,BLA-36 A specific marker for B cells and some lymphomas.
#cancr0003.00022,TDT (terminal deoksinukleotidil transferaza) Limfoid hujayralar rivojlanishining boshida ifodalangan oqsil,"TDT (Terminal deoxynucleotidyl transferase) Белок, экспрессируемый на ранних этапах развития лимфоидных клеток",TDT (Terminal deoxynucleotidyl transferase) A protein expressed early in the development of lymphoid cells
#cancr0003.00023,l zanjirlari (Immunoglobulinlarning engil zanjirlari B hujayrali malign o'smalarda klonallikni aniqlash uchun ishlatiladi),"λ-цепи (Легкие цепи иммуноглобулинов, используемые для определения клональности в В-клеточных злокачественных новообразованиях)",λ chains (Immunoglobulin light chains used to determine clonality in B-cell malignancies)
#cancr0003.00024,k zanjirlari (Immunoglobulin engil zanjirlari B hujayrali malign o'smalarda klonallikni aniqlash uchun ishlatiladi),"κ-цепи (Легкие цепи иммуноглобулинов, используемые для определения клональности в В-клеточных злокачественных новообразованиях)",κ chains (Immunoglobulin light chains used to determine clonality in B-cell malignancies)
#cancr0003.00025,Siklin D1 Protein hujayra siklini tartibga solishda ishtirok etadi,"Cyclin D1 Белок, участвующий в регуляции клеточного цикла",Cyclin D1 Protein involved in cell cycle regulation
#cancr0003.00026,Bcl-2 apoptozni inhibe qiluvchi proto-onkogen,"Bcl-2 Протоонкоген, ингибирующий апоптоз",Bcl-2 Proto-oncogene that inhibits apoptosis
#cancr0003.00027,Bcl-6 B hujayralarini tartibga solishda ishtirok etadigan transkripsiya omili,"Bcl-6 Транскрипционный фактор, участвующий в регуляции В-клеток",Bcl-6 Transcription factor involved in B-cell regulation
#cancr0003.00028,MPO (Myeloperoksidaza): Granulotsitlarda ifodalangan ferment.,"MРО (Myeloperoxidase): Фермент, экспрессируемый в гранулоцитах.",MPO (Myeloperoxidase): An enzyme expressed in granulocytes.
