CODE,UZ,RU,Long common name (EN)
lab-pan-A,Siydikning makrosopik tekshiruvi,Макроскопическое исследование мочи,Urine macroscopic analysis
lab-pan-1,Miqdori  ,Количество,Urine volume [Volume]
lab-pan-2,Rangi ,Цвет,Color of Urine
lab-pan-3,Shaffofligi,Прозрачность,Appearance of Urine
lab-pan-4,Nisbiy zichligi ,Относительная плотность,Specific gravity of Urine by Refractometry
lab-pan-5,Reaksiya,Реакция,Urine pH
lab-pan-6,Oqsil ,Белок,Protein [Mass/volume] in Urine by Test strip
lab-pan-7,Glyukoza ,Глюкоза,Glucose [Mass/volume] in Urine by Test strip
lab-pan-8,Keton tanachalari,Кетоновые тела,Ketones [Mass/volume] in Urine by Test strip
lab-pan-9,Qon borligini aniqlash ryeaksiyasi,Реакция на наличие крови,Hemoglobin [Presence] in Urine by Test strip
lab-pan-10,Bilirubin ,Билирубин,Bilirubin.total [Presence] in Urine by Test strip
lab-pan-11,Urobilinoidlar,Уробилиноген,Urobilinogen [Presence] in Urine by Test strip
lab-pan-12,Oʻt kilotasi ,Желчные кислоты,Bile acids [Presence] in Urine
lab-pan-AA,Siydikning mikroskopik tekshiruvi,Микроскопическое исследование мочи,
lab-pan-13,Epiteliy: yassi,Эпителий: плоский,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy HPF
lab-pan-14,Epiteliy: o‘tuvchi,Эпителий: переходный,Epithelial cells.transitional [#/area] in Urine sediment by Microscopy HPF
lab-pan-15,Epiteliy: buyrak epiteliyasi,Эпителий: почечный,Epithelial cells.renal [#/area] in Urine sediment
lab-pan-16,Leykotsitlar,Лейкоциты,Leukocytes [#/area] in Urine sediment by Microscopy HPF
lab-pan-17,Eritrotsitlar o‘zgargan,Эритроциты изменённые,Erythrocytes.dysmorphic [#/area] in Urine sediment by Computer assisted method
lab-pan-18,Eritrotsitlar o‘zgarmagan,Эритроциты неизменённые,Erythrocytes [#/volume] in Urine by Test strip
lab-pan-19,Silindrlar: gialinli,Цилиндры: гиалиновые,Hyaline casts [#/area] in Urine sediment by Microscopy LPF
lab-pan-20,Silindrlar: mumsimon,Цилиндры: восковидные,Waxy casts [#/area] in Urine sediment by Microscopy LPF
lab-pan-21,Silindrlar: donador,Цилиндры: зернистые,Granular casts [#/area] in Urine sediment by Microscopy LPF
lab-pan-22,Silindrlar: eritrotsitar,Цилиндры: эритроцитарные,RBC casts [#/area] in Urine sediment by Microscopy LPF
lab-pan-23,Silindrlar: leykotsitar,Цилиндры: лейкоцитарные,WBC casts [#/area] in Urine sediment by Microscopy LPF
lab-pan-24,Silindrlar: epitelial,Цилиндры: эпителиальные,Epithelial casts [#/area] in Urine sediment by Microscopy LPF
lab-pan-25,Shilliq,Слизь,Mucus [#/area] in Urine sediment by Microscopy LPF
lab-pan-26,Tuzlar,Соли,Crystals [Presence] in Urine sediment by Light microscopy
lab-pan-27,Bakteriyalar,Бактерии,Bacteria [#/area] in Urine sediment by Microscopy HPF
lab-pan-B,Najasning makroskopik tekshiruvi,Макроскопическое исследование кала,Macroscopic stool analysis
lab-pan-28,Miqdori,Количество,Volume of Stool
lab-pan-29,Konsistensiyasi,Консистенция,Consistency of Stool
lab-pan-30,Shakli,Форма,Appearance of Stool
lab-pan-31,Hidi,Запах,Appearance of Stool
lab-pan-32,Rangi,Цвет,Color of Stool
lab-pan-33,Muhit (pH reaksiyasi),Среда (реакция pH),pH of Stool
lab-pan-34,Shilliq,Слизь,Mucus [Presence] in Stool by Light microscopy
lab-pan-35,Qon,Кровь,Hemoglobin [Presence] in Stool from gastrointestinal
lab-pan-36,Hazm bo‘lmagan ovqat qoldiqlari,Непереваренные остатки пищи,Epithelial casts [#/area] in Urine sediment by Microscopy LPF
lab-pan-37,Yashirin qonga reaksiya,Реакция на скрытую кровь,Hemoglobin [Presence] in Stool from gastrointestinal lower by Immunoassay --1st specimen
lab-pan-38,Sterkobilinga reaksiya,Реакция на стеркобилин,Stercobilin [Presence] in Stool
lab-pan-39,Bilirubinga reaksiya,Реакция на билирубин,Bilirubin.total [Presence] in Stool
lab-pan-BB,Najasning mikroskopik tekshiruvi,Микроскопическая исследование кала,
lab-pan-40,Mushak tolalari: ko‘ndalang chiziqli,Мышечные волокна:С исчерченностью,Meat fibers [Presence] in Stool by Light microscopy
lab-pan-41,Mushak tolalari: ko‘ndalang chiziqsiz,Мышечные волокна:Без исчерченности,Meat fibers [Presence] in Stool by Light microscopy
lab-pan-42,Biriktiruvchi to‘qima,Соединительная ткань,Connective tissue [Presence] in Stool by Light microscopy
lab-pan-43,Neytral yog‘,Жир нейтральный,Fat.neutral [Presence] in Stool
lab-pan-44,Yog‘ kislotalari,Жирные кислоты,Fatty acids [Presence] in Stool
lab-pan-45,Sovunlar,Мыла,Fatty acid salts [Presence] in Stool by Light microscopy
lab-pan-46,O‘simlik kletchatkasi (hazm bo‘ladigan),Растительная клетчатка перевариваемая," 	Vegetable fibers [Presence] in Stool by Light microscopy"
lab-pan-47,Kraxmal,Крахмал,Starch granules [Presence] in Stool by Light microscopy
lab-pan-48,Yodofil flora,Йодофильная флора,Iodophilic bacteria [Presence] in Stool by Light microscopy
lab-pan-49,Kristallar,Кристаллы,Crystals [type] in Stool by Light microscopy
lab-pan-50,Shilliq,Слизь,Mucus [Presence] in Stool by Light microscopy
lab-pan-51,Epiteliy,Эпителий,Epithelial cells [Presence] in Stool by Light microscopy
lab-pan-52,Leykotsitlar,Лейкоциты,Leukocytes [Presence] in Stool by Light microscopy
lab-pan-53,Eritrotsitlar,Эритроциты," 	Erythrocytes [Presence] in Stool"
lab-pan-54,Sodda parazitlar (protozoylar),Простейшие,         Protozoa identified in Specimen
lab-pan-55,Gelmint tuxumlari,Яйца глистов,Ova and parasites identified in Stool by Light microscopy
lab-pan-56,Achitqi zamburug‘lar,Дрожжевые грибы,Yeast [Presence] in Stool by Light microscopy
lab-pan-C,Sitologik tahlil (mazok),Цитологическое исследование(мазок),Cytology study of genital specimen by Light microscopy
lab-pan-57,Leykotsitlar,Лейкоциты,Leukocytes [Presence] in Genital specimen by Light microscopy
lab-pan-58,Epitelial hujayralar,Эпителиалные клетки,Epithelial cells [Presence] in Specimen by Wet preparation
lab-pan-59,Mikroflora,Микрофлора,Bacteria [Presence] in Genital specimen by Wet preparation
lab-pan-60,Gonokokklar,Гонококки,Neisseria gonorrhoeae [Presence] in Urethra by Organism specific culture
lab-pan-61,Trichomonadalar,Трихомонады,Trichomonas vaginalis [Presence] in Genital specimen by Light microscopy
lab-pan-62,Zamburug‘lar,Грибы,Yeast [Presence] in Genital specimen by Wet preparation
lab-pan-D,Qon koagulogrammasi,Коагулограммы крови,Blood Coagulation panel
lab-pan-63,Protrombin indeks,Протромбиновый индекс,Prothrombin activity (Quick) [Ratio] in Platelet poor plasma by Coagulation assay
lab-pan-64,Protrombin vaqti,Протромбиновое время,Prothrombin time (PT) [Time] in Platelet poor plasma by Coagulation assay
lab-pan-65,Tromin vaqti (TB),Тромбиновое время (ТВ),Thrombin time (TT) [Time] in Platelet poor plasma by Coagulation assay
lab-pan-66,Fibrinogen,Фибриноген,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay
lab-pan-67,Fibrin-monomer eruvchi komplekslari (FMEK),Растворимые фибрин-мономерные комплексы (РФМК),Fibrin monomer [Presence] in Platelet poor plasma by Hemagglutination
lab-pan-68,Plazmaning geparinga tolerantligi ,Толерантность плазмы к гепарину,Clotting time of Blood by Heparin protamine titration
lab-pan-69,Rekalsifikatsiya vaqti,Время рекальцификации,Recalcification time in Platelet poor plasma by Coagulation assay
lab-pan-70,МНО,МНО (Международное нормализованное отношение),INR (International normalized ratio) in Platelet poor plasma by Coagulation assay
lab-pan-71,Trombotest,Тромботест,Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay
lab-pan-72,Qisman faollashtirilgan tromboplastin vaqti (ҚФТВ),Частично активированное тромбопластиновое время (ЧАСТВ),aPTT in Platelet poor plasma by Coagulation assay
lab-pan-73,Etanol,Этанол,Ethanol [Presence] in Blood
lab-pan-E,Umumiy qon tahlili,Общий анализ крови,CBC panel
lab-pan-74,Gemoglobin (HB),Гемоглобин (HB),Hemoglobin [Mass/volume] in Blood
lab-pan-75,Eritrotsitlar (RBC),Эритроциты (RBC),Erythrocytes [#/volume] in Blood by Automated count
lab-pan-76,Rang ko‘rsatkichi,Цветовой показатель,Color index
lab-pan-77,Eritrotsitlarning o‘rtacha hajmi (MCV),Средний объём эритроцитов (MCV),MCV [Entitic volume] by Automated count
lab-pan-78,1 dona eritrotsitdagi gemoglobin miqdori (MCH),Среднее содержание гемоглобина в одном эритроците (MCH),MCH [Entitic mass] by Automated count
lab-pan-79,Eritrotsitdagi gemoglobin konsentratsiyasi (MCHC),Средняя концентрация гемоглобина в эритроците (MCHC),MCHC [Mass/volume] by Automated count
lab-pan-80,Eritrotsitlar anizotsitozi (RDW-CV),Анизоцитоз эритроцитов (RDW-CV),Erythrocyte distribution width (RDW-CV) [Ratio] by Automated count
lab-pan-81,Gematokrit (HCT),Гематокрит (HCT),Hematocrit [Volume Fraction] of Blood by Automated count
lab-pan-82,Trombotsitlar (PLT),Тромбоциты (PLT),Platelets [#/volume] in Blood by Automated count
lab-pan-83,Trombotsitlarning o‘rtacha hajmi (MPV),Средний объём тромбоцитов (MPV),Platelet [Entitic mean volume] in Blood by Automated count
lab-pan-84,Trombotsitlar anizotsitozi (PDW),Анизоцитоз тромбоцитов (PDW),Platelet distribution width [Entitic volume] in Blood by Automated count
lab-pan-85,Trombokrit (PCT),Тромбокрит (PCT),Platelet [Entitic mean volume] in Blood
lab-pan-86,Leykotsitlar (WBC),Лейкоциты (WBC),Leukocytes [#/volume] in Blood by Automated count
lab-pan-87,Miyelotsitlar,Миелоциты,Myelocytes [#/volume] in Blood by Manual count
lab-pan-88,Metamiyelotsitlar,Метамиелоциты,Metamyelocytes/100 leukocytes in Blood by Manual count
lab-pan-89,Tayoqchasimon yadroli neytrofillar,Палочкоядерные нейтрофилы,Neutrophils.band form/100 leukocytes in Blood by Manual count
lab-pan-90,Segment yadroli neytrofillar,Сегментоядерные нейтрофилы,Neutrophils [#/volume] in Blood by Automated count
lab-pan-91,Eozinofillar,Эозинофилы,Eosinophils [#/volume] in Blood by Automated count
lab-pan-92,Bazofillar,Базофилы,Basophils [#/volume] in Blood by Automated count
lab-pan-93,Monotsitlar,Моноциты,Monocytes/100 leukocytes in Blood by Automated count
lab-pan-94,Limfotsitlar,Лимфоциты,Lymphocytes [#/volume] in Blood by Automated count
lab-pan-95,Plazmatik hujayralar,Плазматические клетки,Plasma cells monotypic population [Identifier] in Bone marrow by Flow cytometry (FC)
lab-pan-96,Eritrotsitlarning cho‘kish tezligi (ECHT),Скорость оседания эритроцитов (СОЭ),Erythrocyte [Sedimentation Rate] in Blood by Westergren method
lab-pan-97,"Anizotsitoz (mikrotsitlar, makrotsitlar, megalotsitlar)","Анизоцитоз (микроциты, макроциты, мегалоциты)",Platelet anisocytosis [Presence] in Blood by Light microscopy
lab-pan-98,Poykilotsitoz,Пойкилоцитоз,Poikilocytosis [Presence] in Blood by Light microscopy
lab-pan-99,Eritrotsitlarning bazofil donadorligi,Базофильная зернистость эритроцитов,Basophilic stippling [Presence] in Blood by Light microscopy
lab-pan-100,Polixromatofiliya,Полихроматофилия, Polychromasia [Presence] in Blood by Light microscopy
lab-pan-101,Jolli tanachalari,Тельца Жолли, Howell-Jolly bodies [Presence] in Blood by Light microscopy
lab-pan-102,Kebot halqalari,Кольца Кебота,Cabot rings [Presence] in Blood by Light microscopy
lab-pan-103,Eritronormoblastlar (100 ta leykotsitga nisbatan),Эритронормобласты (на 100 лейкоцитов),Nucleated erythrocytes/Leukocytes [Ratio] in Blood by Manual count
lab-pan-104,Megaloblastlar,Мегалобласты, Megaloblasts/cells in Bone marrow
lab-pan-105,Yadro gipersegmentatsiyasi,Гиперсегментация ядер,"Neutrophils.hypersegmented [Presence] in Blood by Light microscopy 	"
lab-pan-106,Toksogen donadorlik,Токсическая зернистость,Toxic granules [Presence] in Blood by Light microscopy
lab-pan-CC,Umumiy qon tahlili,Общий анализ крови,CBC panel
lab-pan-107,Leykositlar (WBC),Лейкоциты (WBC),Leukocytes [#/volume] in Blood by Automated count
lab-pan-108,Barcha neurofil elementlar (Neu#),Абсолютное количество нейтрофилов (Neu#),Neutrophils [#/volume] in Blood by Automated count
lab-pan-109,Limfotsitlar soni (Lym#),Абсолютное количество лимфоцитов (Lym#),Lymphocytes [#/volume] in Blood by Automated count
lab-pan-110,Monotsitlar soni (Mon#),Абсолютное количество моноцитов (Mon#),Monocytes [#/volume] in Blood by Automated count
lab-pan-111,Eozinofillar soni (Eos#),Абсолютное количество эозинофилов (Eos#),Eosinophils [#/volume] in Blood by Automated count
lab-pan-112,Bazofillar soni (Bas#),Абсолютное количество базофилов (Bas#),Basophils [#/volume] in Blood by Automated count
lab-pan-113,Neytrofillar yetilish indeksi (Neu%),Нейтрофилы (Neu%),Neutrophils/Leukocytes in Blood by Automated count
