Справочник международных непатентованных наименований лекарственных средств					
Общее количество элементов: 9347					
			https://nsi.eaeunion.org/portal/1016?searchText=&date=2025-09-08		
Количество выгруженных элементов: 9347					
Код международного непатентованного наименования лекарственного средства	Международное непатентованное наименование лекарственного средства на русском языке	Международное непатентованное наименование лекарственного средства на английском языке	Международное непатентованное наименование лекарственного средства на латинском языке	Вид акта	
000001	абаговомаб	abagovomab	abagovomabum	13201 - Решение Коллегии Евразийской экономической комиссии	
000002	абакавир	abacavir	abacavirum	13201 - Решение Коллегии Евразийской экономической комиссии	
000003	абалопаратид	abaloparatide	abaloparatidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000004	абамектин	abamectin	abamectinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000005	абаметапир	abametapir	abametapirum	13201 - Решение Коллегии Евразийской экономической комиссии	
000006	абанохил	abanoquil	abanoquilum	13201 - Решение Коллегии Евразийской экономической комиссии	
000007	абаперидон	abaperidone	abaperidonum	13201 - Решение Коллегии Евразийской экономической комиссии	
000008	абареликс	abarelix	abarelixum	13201 - Решение Коллегии Евразийской экономической комиссии	
000009	абатацепт	abatacept	abataceptum	13201 - Решение Коллегии Евразийской экономической комиссии	
000010	абафунгин	abafungin	abafunginum	13201 - Решение Коллегии Евразийской экономической комиссии	
000011	абедитерол	abediterol	abediterolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000012	абекарнил	abecarnil	abecarnilum	13201 - Решение Коллегии Евразийской экономической комиссии	
000013	абекомотид	abecomotide	abecomotidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000014	абексиностат	abexinostat	abexinostatum	13201 - Решение Коллегии Евразийской экономической комиссии	
000015	абемациклиб	abemaciclib	abemaciclibum	13201 - Решение Коллегии Евразийской экономической комиссии	
000016	абетимус	abetimus	abetimusum	13201 - Решение Коллегии Евразийской экономической комиссии	
000017	абиратерон	abiraterone	abirateronum	13201 - Решение Коллегии Евразийской экономической комиссии	
000018	абитесартан	abitesartan	abitesartanum	13201 - Решение Коллегии Евразийской экономической комиссии	
000019	абитузумаб	abituzumab	abituzumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
000020	абиципар пэгол	abicipar pegol	abiciparum pegolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000021	аблукаст	ablukast	ablukastum	13201 - Решение Коллегии Евразийской экономической комиссии	
000022	абрилумаб	abrilumab	abrilumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
000023	абринеурин	abrineurin	abrineurinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000024	абунидазол	abunidazole	abunidazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000025	абциксимаб	abciximab	abciximabum	13201 - Решение Коллегии Евразийской экономической комиссии	
000026	авагацестат	avagacestat	avagacestatum	13201 - Решение Коллегии Евразийской экономической комиссии	
000027	авакопан	avacopan	avacopanum	13201 - Решение Коллегии Евразийской экономической комиссии	
000028	аванафил	avanafil	avanafilum	13201 - Решение Коллегии Евразийской экономической комиссии	
000029	авасимиб	avasimibe	avasimibum	13201 - Решение Коллегии Евразийской экономической комиссии	
