code	ucum code 	Naming/			The designation	
		In Uzbek	In russian	In English	In Uzbek	In russian
%	"%	"	foiz	процент	percent	%	%
ng	"ng	"	nanogramm	нанограмм	nanogram	ng	нг
uL	uL	mikrolitr	микролитр	microliter	mkl	мкл
nL	"nL	"	nanolitr	нанолитр	nanoliter	nl	нл
Rd	Rd	rezerford	резерфорд	rutherford	Rd	Рд
		grey	грей	gray	Gr	Гр
		rad	рад	glad	rad	рад
kcal	kCal	kilokaloriya	килокалория	kilocalorie	kkal	ккал
mmol	mmol	millimol	миллимоль	millimole	mmol	ммоль
umol	umol	mikromol	микромоль	micromoles	mkmol	мкмоль
nmol	nmol	nanomol	наномоль	nanomole	nmol	нмоль
osm	osm	osmol	осмоль	osmol	Osm	Осм
mosm	mosm	milliosmol	миллиосмоль		mOsm	мОсм
		massa foizi	процент массовый		%, m	%, m
		hajm foizi	процент объемный		%, vol	%, vol
[drp]	[drp]	tomchi	капля		tomchi	капля
		ulush	доля		ulush	доля
		doza	доза		doza	доза
cell	{Cells}	hujayra	клетка	cell 	xujayra	клетка
10*6.{cell}	10*6.{cell}	mln hujayra	млн клеток		mln xujayra	млн клеток
10*9.{cell}	10*9.{cell}	mlrd hujayra	млрд клеток		mlrd xujayra	млрд клеток
{spore}	{spore}	spora	спора	spore	spora	спора
		mlrd spor	млрд спор		mlrd spor	млрд спор
g/mL	g/mL	millilitrda gramm	грамм на миллилитр	gramsPerMilliLiter	g/ml	г/мл
mg/mL	mg/mL	millilitrda milligramm	миллиграмм на миллилитр	"milliGramsPerMilliLiter	"	mg/ml	мг/мл
ug/mL	ug/mL	millilitrda mikrogramm	микрограмм на миллилитр	"microGramsPerMilliLiter	"	mkg/ml	мкг/мл
		mikrolitrda mikrogramm	микрограмм на микролитр		mkg/mkl	мкг/мкл
mg/g	mg/g	grammda milligramm	миллиграмм на грамм	"milliGramsPerGram	"	mg/g	мг/г
ug/g	ug/g	grammda mikrogramm	микрограмм на грамм	"microGramsPerGram	"	mkg/g	мкг/г
ug/mg	ug/mg	milligrammda mikrogramm	микрограмм на миллиграмм	"microGramsPerMilliGram	"	mkg/mg	мкг/мг
mmol/L	mmol/L	litrda millimol	миллимоль на литр	"milliMolesPerLiter	"	mmol/l	ммоль/л
		optik birlik	оптическая единица	optical unit	OB	ОЕ
"cm2	"	"cm2	"	kvadrat santimetr	квадратный сантиметр	square centimeter	kv.sm	кв.см
mL	mL	millilitr	миллилитр	"milliLiter	"	ml	мл
L	"L	"	litr	литр	liter	l	л
mg	"mg	"	milligramm	миллиграмм	milligram	mg	мг
g	g	gramm	грамм		g	г
ug	ug	mikrogramm	микрограмм	microGram		мкг
kg	kg	kilogramm	килограмм	kiloGram	kg	кг
J	J	joul	джоуль	joule	J	Дж
	kJ	kilojoul	килоджоуль	kilojoule	kJ	кДж
GBq	GBq	gigabekkerel	гигабеккерель	gigabecquerel	GBk	ГБк
kBq	kBq	kilobekkerel	килобеккерель	kilobecquerel	kBk	кБк
MBq	MBq	megabekkerel	мегабеккерель	megabecquerel	MBk	МБк
mol	mol	mol	моль	mole	mol	моль
Bq	Bq	bekkerel	беккерель	becquerel	Bk	Бк
