PARENT_CODE	CODE	UZ	RU	EN						
	A	Ovqat hazm qilish tizimi va moddalar almashinuvi	Пищеварительный тракт и обмен веществ							
A	A01	Stomatologiyada qoʻllaniladigan preparatlar	Препараты применяемые в стоматологии							
A01	A01A	Stomatologiyada qoʻllaniladigan preparatlar	Препараты применяемые в стоматологии							
A01A	A01AA	Kariyesning oldini olish uchun preparatlar	Препараты для профилактики кариеса							
A01AA	A01AA01	Natriy ftoridi	Натрия фторид							
A01AA	A01AA02	Natriy monoftorfosfati	Натрия монофторфосфат							
A01AA	A01AA03	Olaflur	Олафлур							
A01AA	A01AA04	Qalay ftoridi	Олова фторид							
A01AA	A01AA30	Kariyesni oldini olish uchun majmualangan preparatlar 	Препараты для профилактики кариеса комбинированные							
A01AA	A01AA51	Natriy ftoridi boshqa vositalar bilan majmuada 	Натрия фторид в комбинации со средствами							
A01A	A01AB	Mikroblarga qarshi preparatlar va ogʻiz boʻshligʻi kasalliklarini mahalliy davolash uchun antiseptiklar 	Противомикробные препараты и антисептики для местного лечения заболеваний полости рта							
A01AB	A01AB02	Vodorod peroksidi	Водорода пероксид							
A01AB	A01AB03	Xlorgeksidin	Хлоргексидин							
A01AB	A01AB04	Amfoteritsin B	Амфотерицин B							
A01AB	A01AB05	Polinoksilin	Полиноксилин							
A01AB	A01AB06	Domifen bromidi	Домифена бромид							
A01AB	A01AB07	Oksixinolin	Оксихинолин							
A01AB	A01AB08	Neomitsin	Неомицин							
A01AB	A01AB09	Mikonazol	Миконазол							
A01AB	A01AB10	Natamitsin	Натамицин							
A01AB	A01AB11	Boshqa preparatlar	Прочие препараты							
A01AB	A01AB12	Geksetidin	Гексэтидин							
A01AB	A01AB13	Tetratsiklin	Тетрациклин							
A01AB	A01AB14	Benzoksoniy xloridi	Бензоксония хлорид							
A01AB	A01AB15	Tibezoniy yodidi	Тибезония йодид							
A01AB	A01AB16	Mepartritsin	Мепартрицин							
A01AB	A01AB17	Metronidazol	Метронидазол							
A01AB	A01AB18	Klotrimazol	Клотримазол							
A01AB	A01AB19	Natriy perborati	Натрия перборат							
A01AB	A01AB21	Xlortetratsiklin	Хлортетрациклин							
A01AB	A01AB22	Doksitsiklin	Доксициклин							
A01AB	A01AB23	Minotsiklin	Миноциклин							
A01A	A01AC	Ogʻiz boʻshligʻi kasalliklarini mahalliy davolash uchun kortikosteroidlar	Кортикостероиды для местного лечения заболеваний полости рта							
A01AC	A01AC01	Triamsinolon	Триамцинолон							
A01AC	A01AC02	Deksametazon	Дексаметазон							
A01AC	A01AC03	Gidrokortizon	Гидрокортизон							
A01AC	A01AC54	Prednizolon boshqa vositalar bilan majmuada	Преднизолон в комбинации со средствами							
A01AC	A01AD01	Epinefrin	Эпинефрин							
A01AC	A01AD02	Benzidamin	Бензидамин							
A01AC	A01AD05	Asetilsalitsil kislotasi	Ацетилсалициловая кислота							
