Name,,Flags,,Cardinality,example 1,example 2,document,Type,Description & Constraints,,ValueSets,,,
Organization,,TU,,,,,,DomainResource,"Информация об организации, ее структуре",,System,CodeSystem,Code,Display
identifier,,Σ S,  D,0..*,,,,Identifier,Идентификаторы Организации,,http://terminology.hl7.org/ValueSet/organization-type,CodeSystemOrganization-type,все коды,Вид организации
identifier:taxId,,MS,,0..1,,tashkent-diseases-hospital,,Identifier,Налоговый идентификатор организации,,,,,
,use,,,0..1,,official,,code,"Определяет вид использования идентификатора (официальный, вторичный, временный, старый, обычный)
Binding:http://hl7.org/fhir/identifier-use",,https://terminology.medcore.uz/ValueSet/Subordination-group,CodeSystem Subordination group,все коды,Группа подчинения для медорганизации
,type,Σ S,,0..1,,"$identifier-type#TAX ""Tax ID number""",,CodeableConcept,"Определяет код типа идентификатора
Binding: IdentifierTypeCS (required)",,https://terminology.medcore.uz/ValueSet/Nomenclature-group,CodeSystem Nomenclature group,все коды,Группа номенклатуры (группировка учреждений)
,system,S,,0..1,,$organization-tax-id-system,,uri,type: TAX system: https://dhp.uz/fhir/core/sid/org/uz/soliq Binding: IdentifierTypeCS,,https://terminology.medcore.uz/ValueSet/Organizational-service-group,Organizational Service Group,все коды,Организационно-сервисная группа
,value,Σ C,,0..1,,203108505,,string,Значение идентификатора ,,https://terminology.medcore.uz/ValueSet/Type subordinate institution,Type subordinate institution,все коды,Тип подчинения для медучреждений без образования юридического лица
identifier:argosId,,MS,,0..1,,,,Identifier,ARGOS идентификатор организации,,,,,
,use,,,0..1,,official,,code,"Определяет вид использования идентификатора (официальный, вторичный, временный, старый, обычный)
Binding:http://hl7.org/fhir/identifier-use",,,,,
,type,Σ S,,0..1,,"$identifier-type#XX ""Organization Identifier""",,CodeableConcept,"Определяет код типа идентификатора
Binding: IdentifierTypeCS (required)",,,,,
,system,S,,0..1,,$organization-argos-id-system,,uri,type: FI system: https://dhp.uz/fhir/core/sid/org/uz/argos Binding: IdentifierTypeCS,,,,,
,value,Σ C,,0..1,,22640,,string,Значение идентификатора ,,,,,
identifier:smifID,,MS,,0..1,uzb-smif,,,Identifier,Identifier assigned by the State Medical Insurance Fund (SMIF) organization (Organization with type.coding #pay),,,,,
,use,,,1..1,official,,,code,"Определяет вид использования идентификатора (официальный, вторичный, временный, старый, обычный)
Binding:http://hl7.org/fhir/identifier-use",,,,,
,type,Σ S,,0..1,"$identifier-type#NIIP ""National Insurance Payor Identifier (Payor)""",,,CodeableConcept,"Определяет код типа идентификатора 
Binding: IdentifierTypeCS (required) #NIP",,,,,
,system,S,,0..1,https://terminology.dhp.uz/fhir/core/NamingSystem/uzb-shif,,,uri, system: https://dhp.uz/fhir/core/sid/org/uz/shif Binding: IdentifierTypeCS,,,,,
,value,Σ C,,0..1,OAA000024,,,string,Значение идентификатора Must match ^[A-Z]{3}[0-9]{6}$,,,,,
,period,Σ S,,0..1,2024-01-15,,,dateTime,,,,,,
,assigner,Σ S,,0..1,,,,,Ссылка на организацию Фонда государственного медицинского страхования (Organization с type.coding #pay),,,,,
active,,Σ S,  D,0..1,,TRUE,,boolean,Активна или нет запись об организации,,https://terminology.medcore.uz/ValueSet/Organizational-structure,CodeSysOrganizationalStructure,все коды,Организационная структура медучреждения
