CODE,UZ,RU,EN
100,"Sog'liqni saqlash vazirligi, hududiy sog'liqni saqlash boshqarmalari va tuman, shahar tibbiyot birlashmalari","Министерство здравоохранения, территориальные управления здравоохранения и районные, городские медицинские объединения","Ministry of Health, regional health departments and district/city medical associations"
101,"Tuman, shahar tibbiyot birlashmalari, ko'p tarmoqli markaziy poliklinikasi bilan","Районные, городские медицинские объединения с многопрофильной центральной поликлиникой",District and city medical associations with multidisciplinary central polyclinic
104,Ixtisoslashgan shifoxonalar,Специализированные больницы,Specialized hospitals
108,Ixtisoslashtirilgan ko'z mikroxirurgiyasi ilmiy-amaliy tibbiyot markazi,Республиканский специализированный научно-практический медицинский центр микрохирургии глаза,Republican Specialized Scientific and Practical Medical Center of Eye Microsurgery
112,Ixtisoslashtirilgan kardiologiya ilmiy-amaliy tibbiyot markazi davlat muassasasi,Государственное учреждение Республиканский специализированный научно-практический медицинский центр кардиологии,State Republican Specialized Scientific and Practical Medical Center of Cardiology
116,Ixtisoslashtirilgan onkologiya va radiologiya ilmiy-amaliy tibbiyot markazi,Республиканский специализированный научно-практический медицинский центр онкологии и радиологии,Republican Specialized Scientific and Practical Medical Center of Oncology and Radiology
120,Ixtisoslashtirilgan ftiziatriya va pulmonologiya ilmiy-amaliy tibbiyot markazi va shifoxonalari,Республиканский специализированный научно-практический медицинский центр фтизиатрии и пульмонологии и его больницы,Republican Specialized Scientific and Practical Medical Center of Phthisiology and Pulmonology and its hospitals
124,Silga qarshi dispanseri,Противотуберкулёзный диспансер,Tuberculosis dispensary
128,"Ixtisoslashtirilgan dermatologiya, venerologiya va kosmetologiya ilmiy-amaliy tibbiyot markazi","Республиканский специализированный научно-практический медицинский центр дерматологии, венерологии и косметологии","Republican Specialized Scientific and Practical Medical Center of Dermatology, Venereology and Cosmetology"
132,Teri-tanosil klinik shifoxonasi,Кожно-венерологическая клиническая больница,Dermatovenerologic clinical hospital
136,"Kuzatuvi kuchaytirilgan ruhiy kasalliklar markazi, klinik shifoxonasi va dispanserlar","Центр психических заболеваний с усиленным наблюдением, клиническая больница и диспансеры","Center for mental disorders with enhanced supervision, clinical hospital and dispensaries"
140,"Ixtisoslashtirilgan ruhiy-salomatlik ilmiy-amaliy tibbiyot markazi, narkologiya ilmiy-amaliy tibbiyot markazi va shifoxonalar","Республиканский специализированный научно-практический медицинский центр психического здоровья, научно-практический центр наркологии и больницы","Republican Specialized Scientific and Practical Medical Center of Mental Health, Narcology Center and hospitals"
148,Ixtisoslashtirilgan endokrinologiya ilmiy-amaliy tibbiyot markazi va endokrinologiya dispanseri,Республиканский специализированный научно-практический медицинский центр эндокринологии и эндокринологический диспансер,Republican Specialized Scientific and Practical Medical Center of Endocrinology and endocrinology dispensary
152,Ixtisoslashtirilgan neyroxirurgiya ilmiy-amaliy tibbiyot markazi,Республиканский специализированный научно-практический медицинский центр нейрохирургии,Republican Specialized Scientific and Practical Medical Center of Neurosurgery
156,Ixtisoslashtirilgan travmatologiya va ortopediya ilmiy-amaliy tibbiyot markazi,Республиканский специализированный научно-практический медицинский центр травматологии и ортопедии,Republican Specialized Scientific and Practical Medical Center of Traumatology and Orthopedics
160,Ko'p tarmoqli klinika,Многопрофильная клиника,Multidisciplinary clinic
164,Ixtisoslashtirilgan ona va bola salomatligi ilmiy-amaliy tibbiyot markazi,Республиканский специализированный научно-практический медицинский центр здоровья матери и ребёнка,Republican Specialized Scientific and Practical Medical Center for Maternal and Child Health
176,Yuqumli kasalliklar,Инфекционные заболевания,Infectious diseases
180,Shoshilinch tibbiy yordam,Неотложная медицинская помощь,Emergency medical care
184,Ko'p tarmoqli tibbiyot markazi,Многопрофильный медицинский центр,Multidisciplinary medical center
188,"Respublika ixtisoslashtirilgan pediatriya ilmiy-amaliy tibbiyot markazi, Toshkent pediatriya tibbiyot instituti klinikasi va bolalar ko'p tarmoqli tibbiyot markazi","Республиканский специализированный научно-практический медицинский центр педиатрии, клиника Ташкентского педиатрического медицинского института и многопрофильный детский медицинский центр","Republican Specialized Scientific and Practical Medical Center of Pediatrics, clinic of Tashkent Pediatric Medical Institute and multidisciplinary children's medical center"
192,Boshqa shifoxonalar,Другие больницы,Other hospitals
200,Tez tibbiy yordam markazi,Центр скорой медицинской помощи,Emergency medical service center
201,Oilaviy poliklinika 2-tip,Семейная поликлиника 2-типа,Family polyclinic type 2
202,Oilaviy poliklinika 2-tip filiali,Филиал семейной поликлиники 2-типа,Branch of family polyclinic type 2
203,Oilaviy poliklinika 1-tip,Семейная поликлиника 1-типа,Family polyclinic type 1
205,Ko'p tarmoqli markaziy poliklinika,Многопрофильная центральная поликлиника,Multidisciplinary central polyclinic
210,Oilaviy poliklinika,Семейная поликлиника,Family polyclinic
215,Oilaviy shifokorlik punkti,Пункт семейного врача,Family doctor point
220,Qishloq uchastka shifoxonasi,Сельская участковая больница,Rural district hospital
225,Orttirilgan immunitet tanqisligi sindromiga qarshi kurash markazi,Центр по борьбе со СПИД,AIDS prevention and control center
230,Stomatologiya,Стоматология,Dentistry
240,Boshqa poliklinikalar,Другие поликлиники,Other polyclinics
300,Oliy ta’lim,Высшее образование,Higher education
305,O'rta ta’lim,Среднее образование,Secondary education
310,Malaka oshirish markazlari,Центры повышения квалификации,Professional development centers
315,Patologik anatomiya markazi,Центр патологической анатомии,Pathological anatomy center
400,Qon quyish markazi,Центр переливания крови,Blood transfusion center
405,Sud-tibbiy ekspertiza,Судебно-медицинская экспертиза,Forensic medical examination
500,Sanitariya epidemiologik osoyishtalik va jamoat salomatligi,Санитарно-эпидемиологическое благополучие и общественное здоровье,Sanitary and epidemiological wellbeing and public health
505,Xo'jalik hisobidagi dezinfeksiya stansiyasi,Хозрасчётная дезинфекционная станция,Self-financed disinfection station
510,O'lat profilaktikasi markazi,Центр профилактики чумы,Plague prevention center
600,Sihatgoh,Санаторий,Sanatorium
700,"Kutubxona, muzeyi, jurnal, gazeta, omborxona, avtokorxona","Библиотека, музей, журнал, газета, склад, автопредприятие","Library, museum, journal, newspaper, warehouse, motor enterprise"
900,Boshqalar,Прочие,Others
