CODE,UZ,RU,EN
101.0,Terapiya ,Терапия,Therapy
102.0,Kardiologiya ,Кардиология,Cardiology
103.0,Bolalar kardiorevmatologiyasi,Детская кардиоревматология,Pediatric Cardiac Rheumatology
104.0,Kattalar gastroenterologiyasi,Взрослая гастроэнтерология,Adult Gastroenterology
105.0,Bolalar gastroenterologiyasi ,Детская гастроэнтерология,Pediatric Gastroenterology
106.0,Kattalar allergologiyasi,Аллергология для взрослых,Adult Allergology
107.0,Bolalar allergologiyasi ,Детская аллергология,Pediatric Allergology
108.0,Kattalar uchun reabilitatsiya,Реабилитация для взрослых,Adult Rehabilitation
109.0,Bolalar uchun reabilitatsiya,Реабилитация для детей,Children Rehabilitation
110.0,Kattalar endokrinologiyasi,Эндокринология взрослых,Adult Endocrinology
111.0,Bolalar endokrinologiyasi ,Детская эндокринология,Pediatric Endocrinology
112.0,Kattalar yuqumli kasalliklari ,Инфекционные заболевания взрослых,Adult Infectious Diseases
113.0,Bolalar yuqumli kasalliklari ,Детские инфекционные заболевания,Children Infectious Diseases
114.0,Kattalar gematologiyasi,Взрослая гематология,Adult Hematology
115.0,Bolalar gematologiyasi,Детская гематология,Pediatric Hematology
116.0,Kattalar nefrologiyasi,Взрослая нефрология,Adult Nephrology
117.0,Bolalar nefrologiyasi ,Детская нефрология,Pediatric Nephrology
118.0,Kattalar uchun revmatologik,Ревматология для взрослых,Adult Rheumatology
119.0,Bolalar uchun revmatologik ,Ревматология для детей,Children Rheumatology
120.0,Kattalar uchun pulmonologik,Пульмонология для взрослых,Adult Pulmonology
121.0,Bolalar uchun pulmonologik ,Пульмонология для детей,Children Pulmonology
122.0,Kattalar jarrohligi,Хирургия взрослых,Adult Surgery
123.0,Bolalar jarrohligi ,Детская хирургия,Pediatric Surgery
124.0,Kattalar neyrojarrohligi,Взрослая нейрохирургия,Adult neurosurgery
125.0,Bolalar neyrojarrohligi,Детская нейрохирургия,Pediatric neurosurgery
126.0,Kattalar torakal jarrohligi,Торакальная хирургия у взрослых,Adult thoracic surgery
127.0,Bolalar torakal jarrohligi,Детская торакальная хирургия,Pediatric thoracic surgery
128.0,Kattalar kardiojarrohligi,Кардиохирургия у взрослых,Adult cardiac surgery
129.0,Bolalar kardiojarrohligi,Детская кардиохирургия,Pediatric cardiac surgery
130.0,Kattalar tomirlar jarrohligi,Сосудистая хирургия взрослых,Adult vascular surgery
131.0,Bolalar tomirlar jarrohligi,Детская сосудистая хирургия,Adult traumatology
132.0,Kattalar travmatologiyasi,Взрослая травматология,Pediatric traumatology
133.0,Bolalar travmatologiyasi,Детская травматология,Burn disease in adults
134.0,Kattalar kuyish kasalligi,Ожоговая болезнь у взрослых,Burn disease in children
135.0,Bolalar kuyish kasalligi,Ожоговая болезнь у детей,Orthopedics for adults
136.0,Kattalar ortopediyasi,Ортопедия для взрослых,Pediatric orthopedics
137.0,Bolalar ortopediyasi,Детская ортопедия,Adult urology
138.0,Kattalar urologiyasi,Взрослая урология,Pediatric urology
139.0,Bolalar urologiyasi,Детская урология,Dentistry for adults
140.0,Kattalar stomatologiyasi,Стоматология для взрослых,Pediatric dentistry
141.0,Bolalar stomatologiyasi,Детская стоматология,Proctology
142.0,Proktologik ,Проктологический,Esophagus surgery in adults
143.0,Kattalar uchun yiringli jarrohlik,Хирургия пищевода у взрослых,Pediatric surgery
144.0,Bolalar yiringli jarrohlik,Детская хирургия,Adult oncology
101.0,Terapiya,Терапия,Therapy
102.0,Kardiologiya,Кардиология,Cardiology
103.0,Bolalar kardiorevmatologiyasi,Детская кардиоревматология,Pediatric Cardiac Rheumatology
104.0,Kattalar gastroenterologiyasi,Взрослая гастроэнтерология,Adult Gastroenterology
105.0,Bolalar gastroenterologiyasi,Детская гастроэнтерология,Pediatric Gastroenterology
106.0,Kattalar allergologiyasi,Аллергология для взрослых,Adult Allergology
107.0,Bolalar allergologiyasi,Детская аллергология,Pediatric Allergology
108.0,Kattalar uchun reabilitatsiya,Реабилитация для взрослых,Adult Rehabilitation
109.0,Bolalar uchun reabilitatsiya,Реабилитация для детей,Pediatric Rehabilitation
110.0,Kattalar endokrinologiyasi,Эндокринология взрослых,Adult Endocrinology
111.0,Bolalar endokrinologiyasi,Детская эндокринология,Pediatric Endocrinology
112.0,Kattalar yuqumli kasalliklari,Инфекционные заболевания взрослых,Adult Infectious Diseases
113.0,Bolalar yuqumli kasalliklari,Детские инфекционные заболевания,Pediatric Infectious Diseases
114.0,Kattalar gematologiyasi,Взрослая гематология,Adult Hematology
115.0,Bolalar gematologiyasi,Детская гематология,Pediatric Hematology
116.0,Kattalar nefrologiyasi,Взрослая нефрология,Adult Nephrology
117.0,Bolalar nefrologiyasi,Детская нефрология,Pediatric Nephrology
118.0,Kattalar uchun revmatologik,Ревматология для взрослых,Adult Rheumatology
119.0,Bolalar uchun revmatologik,Ревматология для детей,Pediatric Rheumatology
120.0,Kattalar uchun pulmonologik,Пульмонология для взрослых,Adult Pulmonology
121.0,Bolalar uchun pulmonologik,Пульмонология для детей,Pediatric Pulmonology
122.0,Kattalar jarrohligi,Хирургия взрослых,Adult Surgery
123.0,Bolalar jarrohligi,Детская хирургия,Pediatric Surgery
124.0,Kattalar neyrojarrohligi,Взрослая нейрохирургия,Adult Neurosurgery
125.0,Bolalar neyrojarrohligi,Детская нейрохирургия,Pediatric Neurosurgery
126.0,Kattalar torakal jarrohligi,Торакальная хирургия у взрослых,Adult Thoracic Surgery
127.0,Bolalar torakal jarrohligi,Детская торакальная хирургия,Pediatric Thoracic Surgery
128.0,Kattalar kardiojarrohligi,Кардиохирургия у взрослых,Adult Cardiac Surgery
129.0,Bolalar kardiojarrohligi,Детская кардиохирургия,Pediatric Cardiac Surgery
130.0,Kattalar tomirlar jarrohligi,Сосудистая хирургия взрослых,Adult Vascular Surgery
131.0,Bolalar tomirlar jarrohligi,Детская сосудистая хирургия,Adult Vascular Surgery
132.0,Kattalar travmatologiyasi,Взрослая травматология,Adult Traumatology
133.0,Bolalar travmatologiyasi,Детская травматология,Pediatric Traumatology
134.0,Kattalar kuyish kasalligi,Ожоговая болезнь у взрослых,Burn Disease in Adults
135.0,Bolalar kuyish kasalligi,Ожоговая болезнь у детей,Burn Disease in Children
136.0,Kattalar ortopediyasi,Ортопедия для взрослых,Adult Orthopedics
