CODE,UZ,RU,EN
110,Ixtisoslashtirilgan ilmiy-amaliy tibbiyot markazi,Специализированный научно-практический медицинский центр,Specialized scientific and practical medical center
112,Ixtisoslashtirilgan ilmiy markazi,Специализированный научный центр,Specialized scientific center
113,Respublika shoshilinch tibbiy yordam ilmiy markazi,Республиканский научный центр скорой медицинской помощи,Republican scientific center of emergency medical care
114,Ixtisoslashtirilgan markazi,Специализированный центр,Specialized center
116,Tibbiyot markazi markazi,Медицинский центр Центр,Medical center center
118,Reabilitatsiya markazi,Реабилитационный центр,Rehabilitation center
120,Perinatal markazi,Перинатальный центр,Perinatal center
122,Tuman (shahar)lararo Perinatal markazi,Межрайонный (городской) перинатальный центр,District (city) inter-district perinatal center
124,Shahar (tuman) tugʻruq kompleksi,Городской (районный) родильный комплекс,City (district) maternity complex
126,Shoshilinch tibbiy yordam ilmiy markazi,Центр неотложной медицинской помощи,Emergency medical care scientific center
128,Milliy tibbiyot markazi,Национальный Медицинский Центр,National medical center
130,Klinikalar (oliy tibbiy taʼlim yurtlari va ilmiy-tekshirish institutlari qoshidagi),Клиники (при высших медицинских учебных заведениях и научно-исследовательских институтах),Clinics (at higher medical institutions and research institutes)
132,Koʻp tarmoqli tibbiyot markazi,Многопрофильный медицинский центр,Multidisciplinary medical center
134,Bolalar koʻp tarmoqli tibbiyot markazi,Детский многопрофильный медицинский центр,Children's multidisciplinary medical center
136,Ilmiy-tekshirish instituti,Научно-исследовательский институт,Scientific research institute
138,Koʻp tarmoqli klinikasi,Многопрофильная клиника,Multidisciplinary clinic
140,Klinik shifoxonasi,Клиническая больница,Clinical hospital
142,Maxsus shifoxonasi,Специальная больница,Specialized hospital
144,Leprozoriy ,Лепрозорий,Leprosy hospital
146,Shifoxonasi,Больница,Hospital
148,Tibbiyot birlashmasi ,Медицинская Ассоциация,Medical association
150,Ixtisoslashgan dispanser,Специализированный диспансер,Specialized dispensary
152,Bolalar shifoxonasi,Детская больница,Children's hospital
154,Bolalar klinik shifoxonasi,Детская клиническая больница,Children's clinical hospital
156,Koʻp tarmoqli bolalar shifoxonasi ,Многопрофильная детская больница,Multidisciplinary children's hospital
158,Qishloq uchastka shifoxonasi,Сельская районная больница,Rural district hospital
