id,code_soato,name_ru,name_uz,district_id,district_code_soato
1313,1718203551,городской посёлок Лаиш,Loyish shaharchasi,503,1718203
1314,1718203555,городской посёлок Дахбед,Dahbed shaharchasi,503,1718203
1315,1718203557,городской посёлок Авазали,Avazali shaharchasi,503,1718203
1316,1718203559,городской посёлок Болта,Bolta shaharchasi,503,1718203
1317,1718203561,городской посёлок Киркдархон,Qirqdarxon shaharchasi,503,1718203
1318,1718203563,городской посёлок Кумушкент,Kumushkent shaharchasi,503,1718203
7,1703202552,городской посёлок Бустон,Bo‘ston shaharchasi,427,1703202
8,1703202554,городской посёлок Далварзин,Dalvarzin shaharchasi,427,1703202
9,1703202556,городской посёлок Жалабек,Jalabek shaharchasi,427,1703202
10,1703202558,городской посёлок Ижтимоият,Ijtimoiyat shaharchasi,427,1703202
11,1703202562,городской посёлок Кумакай,Kumakay shaharchasi,427,1703202
12,1703202564,городской посёлок Куштепа,Qo‘shtepa shaharchasi,427,1703202
13,1703202566,городской посёлок Маданий мехнат,Madaniy mehnat shaharchasi,427,1703202
14,1703202568,городской посёлок Марказ,Markaz shaharchasi,427,1703202
15,1703202572,городской посёлок Маслахат,Maslahat shaharchasi,427,1703202
16,1703202574,городской посёлок Намуна,Namuna shaharchasi,427,1703202
17,1703202576,городской посёлок Хондибоги,Xondibog‘i shaharchasi,427,1703202
18,1703202804,ССГ Алтынкуль,Oltinko‘l QFY,427,1703202
19,1703202807,ССГ им. Ахунбабаева,Oxunboboyev nomli QFY,427,1703202
20,1703202813,ССГ Джалабек,Jalabek QFY,427,1703202
21,1703202820,ССГ Коштепасарай,Qo‘shtepasaroy QFY,427,1703202
22,1703202825,ССГ Кумакай,Kumakay QFY,427,1703202
23,1703202830,ССГ Маслахат,Maslahat QFY,427,1703202
24,1703202834,ССГ им. Орази,Oraziy QFY,427,1703202
25,1703202840,ССГ Сувюлдуз,Suvyulduz QFY,427,1703202
26,1703203551,городской посёлок Куйган - яр,Kuyganyor shaharchasi,417,1703203
27,1703203553,городской посёлок Айрилиш,Ayrilish shaharchasi,417,1703203
28,1703203554,городской посёлок Бобур,Bobur shaharchasi,417,1703203
29,1703203555,городской посёлок Бутакора,Butaqora shaharchasi,417,1703203
30,1703203557,городской посёлок Гулистон,Guliston shaharchasi,417,1703203
31,1703203559,городской посёлок Гумбаз,Gumbaz shaharchasi,417,1703203
32,1703203561,городской посёлок Заврок,Zavroq shaharchasi,417,1703203
33,1703203563,городской посёлок Каракалпак,Qoraqalpoq shaharchasi,417,1703203
34,1703203567,городской посёлок Кунжи,Kunji shaharchasi,417,1703203
35,1703203569,городской посёлок Кушарик,Qo‘shariq shaharchasi,417,1703203
36,1703203571,городской посёлок Намуна,Namuna shaharchasi,417,1703203
37,1703203573,городской посёлок Огуллик,Og‘ullik shaharchasi,417,1703203
38,1703203575,городской посёлок Ок-ер,Oq-yor shaharchasi,417,1703203
39,1703203577,городской посёлок Роввот,Rovvot shaharchasi,417,1703203
40,1703203579,городской посёлок Хартум,Xartum shaharchasi,417,1703203
41,1703203581,городской посёлок Чилон,Chilon shaharchasi,417,1703203
42,1703203583,городской посёлок Чумбогич,Chumbog‘ich shaharchasi,417,1703203
43,1703203585,городской посёлок Экин-тикин,Ekin tikin shaharchasi,417,1703203
44,1703203587,городской посёлок Янгиабад,Yangiobod shaharchasi,417,1703203
45,1703203589,городской посёлок Гулобод,Gulobod shaharchasi,417,1703203
46,1703203803,ССГ Ак-яр,Oq-Yor QFY,417,1703203
47,1703203813,ССГ Бутакара,Bo‘taqora QFY,417,1703203
48,1703203829,ССГ Кунджи,Qo‘nji QFY,417,1703203
49,1703203838,ССГ Найман,Nayman QFY,417,1703203
50,1703203849,ССГ Хакан,Xakan QFY,417,1703203
51,1703203863,ССГ Хирабек,Xrabek QFY,417,1703203
52,1703203866,ССГ Хартум,Xartum QFY,417,1703203
53,1703203874,ССГ Арал,Orol QFY,417,1703203
54,1703203885,ССГ Ярбаши,Yorboshi QFY,417,1703203
55,1703206551,городской посёлок Баликчи,Baliqchi shaharchasi,419,1703206
56,1703206554,городской посёлок Хужаабад,Xo‘jaobod shaharchasi,419,1703206
57,1703206558,городской посёлок Чинобод марказ,Chinobod markaz shaharchasi,419,1703206
58,1703206803,ССГ Алимбек,Olimbek QFY,419,1703206
59,1703206807,ССГ им. Ахунбабаева,Oxunboboyev nomli QFY,419,1703206
60,1703206813,ССГ Балыкчи,Baliqchi QFY,419,1703206
61,1703206824,ССГ Гулистан,Guliston QFY,419,1703206
62,1703206831,ССГ Бустан,Bo‘ston QFY,419,1703206
63,1703206846,ССГ Сиза,Siza QFY,419,1703206
64,1703206857,ССГ Урманбек,O‘rmonbek QFY,419,1703206
65,1703206868,ССГ Ходжаабад,Xo‘jaobod QFY,419,1703206
66,1703206879,ССГ Эски Хаккулабад,Eskixaqqulobod QFY,419,1703206
280,1706219824,ССГ Беклар,Beklar QFY,438,1706219
67,1703209551,городской посёлок Боз,Bo‘z shaharchasi,421,1703209
68,1703209555,городской посёлок М.Жалолов,M.Jalolov nomli shaharchasi,421,1703209
69,1703209559,городской посёлок Холдевонбек,Xoldevonbek shaharchasi,421,1703209
70,1703209811,ССГ Халдеванбек,Xoldevonbek QFY,421,1703209
71,1703209846,ССГ им. М. Джалалова,M.Jalolov nomli QFY,421,1703209
72,1703209857,ССГ Хавас,Xovos QFY,421,1703209
73,1703210551,городской посёлок Булокбоши,Buloqboshi shaharchasi,420,1703210
74,1703210554,городской посёлок Андижан,Andijon shaharchasi,420,1703210
75,1703210561,городской посёлок Учтепа,Uchtepa shaharchasi,420,1703210
76,1703210564,городской посёлок Ширмонбулок,Shirmonbuloq shaharchasi,420,1703210
77,1703210812,ССГ Булакбаши,Buloqboshi QFY,420,1703210
78,1703210832,ССГ Кулла,Kulla QFY,420,1703210
79,1703210838,ССГ Майарык,Mayariq QFY,420,1703210
80,1703210850,ССГ Найман,Nayman QFY,420,1703210
81,1703210894,ССГ Ширманбулак,Shirmonbuloq QFY,420,1703210
82,1703211501,город Жалакудук,Jalaquduq shahri,422,1703211
83,1703211554,городской посёлок Южный Аламышик,Janubiy olamushuk shaharchasi,422,1703211
84,1703211556,городской посёлок Бештол,Beshtol shaharchasi,422,1703211
85,1703211558,городской посёлок Еркишлок,Yorqishloq shaharchasi,422,1703211
86,1703211562,городской посёлок Жалакудук,Jalaquduq shaharchasi,422,1703211
87,1703211564,городской посёлок Кукалам,Ko‘kalam shaharchasi,422,1703211
88,1703211566,городской посёлок Куштепа,Qo‘shtepa shaharchasi,422,1703211
89,1703211568,городской посёлок Ойим,Oyim shaharchasi,422,1703211
90,1703211804,ССГ Абдуллабий,Abdullabiy QFY,422,1703211
91,1703211807,ССГ Аим,Oyim QFY,422,1703211
92,1703211814,ССГ Бештал,Beshtal QFY,422,1703211
93,1703211818,ССГ Джалалкудук,Jalolquduq QFY,422,1703211
94,1703211824,ССГ Катартал,Qatortol QFY,422,1703211
95,1703211830,ССГ Гулистан,Guliston QFY,422,1703211
96,1703211834,ССГ Тешикташ,Teshiktosh QFY,422,1703211
97,1703211841,ССГ Яркишлак,Yorqishloq QFY,422,1703211
98,1703214501,город Пайтуг,Paytug shahri,423,1703214
99,1703214553,городской посёлок Гуркиров,Gurkirov shaharchasi,423,1703214
100,1703214556,городской посёлок Майгир,Maygir shaharchasi,423,1703214
101,1703214559,городской посёлок Турткул,To‘rtko‘l shaharchasi,423,1703214
102,1703214563,городской посёлок Узун куча,Uzun ko‘cha shaharchasi,423,1703214
103,1703214811,ССГ Избаскан,Izboskan QFY,423,1703214
104,1703214822,ССГ Майгир,Maygir QFY,423,1703214
105,1703214833,ССГ Намуна,Namuna QFY,423,1703214
106,1703214844,ССГ Уртаклар,O‘rtoqlar QFY,423,1703214
107,1703214855,ССГ Шерматабад,Shermatobod QFY,423,1703214
108,1703214860,ССГ Эркин,Erkin QFY,423,1703214
109,1703214866,ССГ Янгизамон,Yangizamon QFY,423,1703214
110,1703214877,ССГ Янгикишлак,Yangi qishloq QFY,423,1703214
111,1703214885,ССГ Яккатут,Yakkatut QFY,423,1703214
112,1703217551,городской посёлок Ок-олтин,Oq oltin shaharchasi,429,1703217
113,1703217810,ССГ Акалтын,Oq oltin QFY,429,1703217
114,1703217815,ССГ Мингчинар,Mingchinor QFY,429,1703217
115,1703217820,ССГ Мингбулак,Mingbuloq QFY,429,1703217
116,1703217830,ССГ им. Навои,Navoiy nomli QFY,429,1703217
117,1703220501,город Кургантепа,Qo‘rg‘ontepa shahri,425,1703220
118,1703220505,город Карасу,Qorasuv shahri,425,1703220
119,1703220553,городской посёлок Султонабад,Sultonobod shaharchasi,425,1703220
120,1703220813,ССГ Дардак,Dardok QFY,425,1703220
121,1703220836,ССГ Кургантепа,Qo‘rg‘ontepa QFY,425,1703220
122,1703220847,ССГ Савай,Savay QFY,425,1703220
123,1703220858,ССГ Султанабад,Sultonobod QFY,425,1703220
124,1703220872,ССГ Чимион,Chimyon QFY,425,1703220
125,1703224501,город Асака,Asaka shahri,418,1703224
126,1703224552,городской посёлок Кужган,Kujgan shaharchasi,418,1703224
127,1703224554,городской посёлок Навкан,Navkan shaharchasi,418,1703224
128,1703224556,городской посёлок Окбуйра,Oqbo‘yra shaharchasi,418,1703224
129,1703224558,городской посёлок Т.Алиев,T.Aliyev shaharchasi,418,1703224
130,1703224811,ССГ Зарбдар,Zarbdor QFY,418,1703224
131,1703224822,ССГ Илгар,Ilg‘or QFY,418,1703224
132,1703224833,ССГ Каратепа,Qoratepa QFY,418,1703224
133,1703224844,ССГ Кужган,Kujgan QFY,418,1703224
134,1703224855,ССГ Кадим,Qadim QFY,418,1703224
135,1703224866,ССГ Мустахкам,Mustahkam QFY,418,1703224
136,1703224877,ССГ Узбекистан,O‘zbekiston QFY,418,1703224
137,1703224885,ССГ Ниязбатыр,Niyozbotir QFY,418,1703224
138,1703227501,город Мархамат,Marxamat shahri,426,1703227
139,1703227554,городской посёлок Палванташ,Polvontosh shaharchasi,426,1703227
140,1703227557,городской посёлок Бобохуросон,Boboxuroson shaharchasi,426,1703227
141,1703227561,городской посёлок Корабогиш,Qorabog‘ish shaharchasi,426,1703227
142,1703227564,городской посёлок Коракургон,Qoraqo‘rg‘on shaharchasi,426,1703227
143,1703227567,городской посёлок Кутарма,Ko‘tarma shaharchasi,426,1703227
144,1703227571,городской посёлок Мархамат,Marxamat shaharchasi,426,1703227
145,1703227574,городской посёлок Ровот,Rovot shaharchasi,426,1703227
146,1703227577,городской посёлок Укчи,O‘qchi shaharchasi,426,1703227
147,1703227581,городской посёлок Хакка,Xakka shaharchasi,426,1703227
148,1703227584,городской посёлок Хужаарик,Xo‘jaariq shaharchasi,426,1703227
149,1703227811,ССГ Каракурган,Qoraqo‘rg‘on QFY,426,1703227
150,1703227816,ССГ Карабагиш,Qorabog‘ish QFY,426,1703227
151,1703227822,ССГ Кутарма,Ko‘tarma QFY,426,1703227
152,1703227833,ССГ Мархамат,Marxamat QFY,426,1703227
153,1703227855,ССГ Шукурмерган,Shukurmergan QFY,426,1703227
154,1703230501,город Шахрихан,Shaxrixon shahri,432,1703230
155,1703230552,городской посёлок Вахим,Vaxim shaharchasi,432,1703230
156,1703230554,городской посёлок Чужа,Cho‘ja shaharchasi,432,1703230
157,1703230556,городской посёлок Сегаза кум,Segaza kum shaharchasi,432,1703230
158,1703230811,ССГ Чужа,Cho‘ja QFY,432,1703230
159,1703230822,ССГ Найнава,Naynavo QFY,432,1703230
160,1703230826,ССГ Гулистан,Guliston QFY,432,1703230
161,1703230835,ССГ Пахтаабад,Paxtaobod QFY,432,1703230
162,1703230846,ССГ Таштепа,Toshtepa QFY,432,1703230
163,1703230857,ССГ Узбекистан,O‘zbekiston QFY,432,1703230
164,1703230862,ССГ Урта Шахрихан,O‘rta Shaxrixon QFY,432,1703230
165,1703230869,ССГ Хакикат,Xaqiqat QFY,432,1703230
166,1703230872,ССГ Абдубий,Abdubiy QFY,432,1703230
167,1703230882,ССГ Янгиюль,Yangi yo‘l QFY,432,1703230
168,1703230890,ССГ Назармахрам,Nazarmaxram QFY,432,1703230
169,1703230898,ССГ Юкори Шахрихан,Yuqori Shaxrixon QFY,432,1703230
170,1703232501,город Пахтаабад,Paxtaobod shahri,428,1703232
171,1703232556,городской посёлок Дустлик,Do‘stlik shaharchasi,428,1703232
172,1703232559,городской посёлок Избоскан,Izboskan shaharchasi,428,1703232
173,1703232563,городской посёлок Пушмон,Pushmon shaharchasi,428,1703232
174,1703232803,ССГ Бустан,Bo‘ston QFY,428,1703232
175,1703232810,ССГ Иттифак,Ittifoq QFY,428,1703232
176,1703232820,ССГ Маданият,Madaniyat QFY,428,1703232
177,1703232834,ССГ Пахтакор,Paxtakor QFY,428,1703232
178,1703232845,ССГ Уйгур,Uyg‘ur QFY,428,1703232
179,1703236501,город Ходжаабад,Xo‘jaobod shahri,430,1703236
180,1703236552,городской посёлок Гулистон,Guliston shaharchasi,430,1703236
181,1703236554,городской посёлок Дилкушод,Dilkushod shaharchasi,430,1703236
182,1703236558,городской посёлок Кутарма,Ko‘tarma shaharchasi,430,1703236
183,1703236562,городской посёлок Манак,Manak shaharchasi,430,1703236
184,1703236564,городской посёлок Хидирша,Xidirsha shaharchasi,430,1703236
185,1703236826,ССГ Манак,Manak QFY,430,1703236
186,1703236861,ССГ Бирлашган,Birlashgan QFY,430,1703236
187,1703236872,ССГ Олтин водий,Oltin vodiy QFY,430,1703236
188,1703236883,ССГ Ходжаабад,Xo‘jaobod QFY,430,1703236
189,1706204501,город Алат,Olot shahri,442,1706204
190,1706204552,городской посёлок Ганчи Чандир,Ganchi Chandir shaharchasi,442,1706204
191,1706204553,городской посёлок Кесакли,Kesakli shaharchasi,442,1706204
192,1706204554,городской посёлок Киртай,Qirtay shaharchasi,442,1706204
193,1706204555,городской посёлок Сола коровул,Sola qorovul shaharchasi,442,1706204
194,1706204557,городской посёлок Жайхунобод,Jayxunobod shaharchasi,442,1706204
195,1706204558,городской посёлок Узбекистан,O‘zbekiston shaharchasi,442,1706204
196,1706204559,городской посёлок Човдур,Chovdur shaharchasi,442,1706204
197,1706204561,городской посёлок Бурибек Чандир,Bo‘ribek Chandir shaharchasi,442,1706204
198,1706204804,ССГ Бахористон,Bahoriston QFY,442,1706204
199,1706204808,ССГ Гулистон,Guliston QFY,442,1706204
200,1706204810,ССГ Денау,Denov QFY,442,1706204
201,1706204820,ССГ Джумабазар,Jumabozor QFY,442,1706204
202,1706204830,ССГ Пахтакор,Paxtakor QFY,442,1706204
203,1706204840,ССГ Талкансаят,Talqon-sayyot QFY,442,1706204
204,1706204850,ССГ Чандир,Chandir QFY,442,1706204
205,1706204853,ССГ Чарбаг,Chorbog‘ QFY,442,1706204
206,1706204856,ССГ Кирлишон,Qirlishon QFY,442,1706204
207,1706204860,ССГ Соин - Коравул,Soyin-qorovul QFY,442,1706204
208,1706207501,город Галлаасия,Gala Osiyo shahri,434,1706207
209,1706207553,городской посёлок Дехча,Dexcha shaharchasi,434,1706207
210,1706207554,городской посёлок Подшойи,Podshoyi shaharchasi,434,1706207
211,1706207555,городской посёлок Работак,Rabotak shaharchasi,434,1706207
212,1706207557,городской посёлок Урта Новметан,O‘rta Novmetan shaharchasi,434,1706207
213,1706207558,городской посёлок Хумини боло,Xumini bolo shaharchasi,434,1706207
214,1706207561,городской посёлок Арабхона,Arabxona shaharchasi,434,1706207
215,1706207810,ССГ Багикалан,Bog‘ikalon QFY,434,1706207
216,1706207824,ССГ Каваля Махмуд,Qavola Maxmud QFY,434,1706207
217,1706207830,ССГ Кунжикала,Kunjiqal’a QFY,434,1706207
218,1706207835,ССГ Шахонча,Shexoncha QFY,434,1706207
219,1706207846,ССГ Гулшанобод,Gulshanobod QFY,434,1706207
220,1706207857,ССГ Рабаткалмок,Rabotiqalmoq QFY,434,1706207
221,1706207860,ССГ Саховат,Saxovat QFY,434,1706207
222,1706207880,ССГ Шергирон,Shergiron QFY,434,1706207
223,1706207882,ССГ Янгиобод,Yangiobod QFY,434,1706207
224,1706207883,ССГ Янги Турмуш,Yangi Turmush QFY,434,1706207
225,1706207886,ССГ Сохибкор,Sohibkor QFY,434,1706207
226,1706207890,ССГ Суфикоргар,So‘fikorgar QFY,434,1706207
227,1706207895,ССГ Истикбол,Istiqbol QFY,434,1706207
228,1706207898,ССГ Кучкумар,Ko‘chko‘mar QFY,434,1706207
229,1706212501,город Вабкент,Vobkent shahri,435,1706212
230,1706212554,городской посёлок Навбахор,Navbahor shaharchasi,435,1706212
231,1706212556,городской посёлок Ширин,Shirin shaharchasi,435,1706212
232,1706212558,городской посёлок Косари,Kosari shaharchasi,435,1706212
233,1706212808,ССГ Имамказыхан,Imomqazixon QFY,435,1706212
234,1706212811,ССГ Пирмаст,Pirmast QFY,435,1706212
235,1706212822,ССГ Кунград,Qo‘ng‘irot QFY,435,1706212
236,1706212833,ССГ Кумушкент,Kumushkent QFY,435,1706212
237,1706212844,ССГ Рахкент,Roxkent QFY,435,1706212
238,1706212854,ССГ Хайрабатча,Xayrobotcha QFY,435,1706212
239,1706212855,ССГ Халач,Xalach QFY,435,1706212
240,1706212857,ССГ Хайрхуш,Xayrxush QFY,435,1706212
241,1706212867,ССГ Кипчак,Qipchoq QFY,435,1706212
242,1706212877,ССГ Эхсон,Exson QFY,435,1706212
243,1706212887,ССГ Янгикент,Yangikent QFY,435,1706212
244,1706215501,город Гиждуван,G‘ijduvon shahri,436,1706215
245,1706215556,городской посёлок Абади,Abadi shaharchasi,436,1706215
246,1706215559,городской посёлок Бештуво,Beshtuvo shaharchasi,436,1706215
247,1706215561,городской посёлок Гаждумак,Gajdumak shaharchasi,436,1706215
248,1706215562,городской посёлок Джовгари,Jovgari shaharchasi,436,1706215
249,1706215563,городской посёлок Кулижаббор,Ko‘lijabbor shaharchasi,436,1706215
250,1706215564,городской посёлок Мазраган,Mazragan shaharchasi,436,1706215
251,1706215565,городской посёлок Юкори Ростгуй,Yuqori Rostgo‘y shaharchasi,436,1706215
252,1706215566,городской посёлок Узанон,O‘zanon shaharchasi,436,1706215
253,1706215568,городской посёлок Хатча,Xatcha shaharchasi,436,1706215
254,1706215569,городской посёлок Чагдари,Chag‘dari shaharchasi,436,1706215
255,1706215574,городской посёлок Додарак,Dodarak shaharchasi,436,1706215
256,1706215576,городской посёлок Наматгарон,Namatgaron shaharchasi,436,1706215
257,1706215578,городской посёлок Юкори Кумок,Yuqori Qumoq shaharchasi,436,1706215
258,1706215803,ССГ Армечан,Armechan QFY,436,1706215
259,1706215805,ССГ Буктарай,Buktaroy QFY,436,1706215
260,1706215810,ССГ Гавшун,G‘ovshun QFY,436,1706215
261,1706215820,ССГ Зарангари,Zarangari QFY,436,1706215
262,1706215827,ССГ Карахани,Qaraxoni QFY,436,1706215
263,1706215831,ССГ Кукча,Ko‘kcha QFY,436,1706215
264,1706215836,ССГ Позагари,Pozagari QFY,436,1706215
265,1706215840,ССГ Пахтаобод,Paxtaobod QFY,436,1706215
266,1706215848,ССГ Соктари,Soktari QFY,436,1706215
267,1706215849,ССГ Сарвари,Sarvari QFY,436,1706215
268,1706215850,ССГ Сармиджан,Sarmijon QFY,436,1706215
269,1706215860,ССГ Ульфатбиби,Ulfatbibi QFY,436,1706215
270,1706215870,ССГ им.Ф. Юнусова,G.Yunusov nomli QFY,436,1706215
271,1706215880,ССГ Фиришкент,Firishkent QFY,436,1706215
272,1706219550,город Каган,Kogon shahri,438,1706219
273,1706219557,городской посёлок Сараенобод,Sarayonobod shaharchasi,438,1706219
274,1706219559,городской посёлок Тутикунда,Tutikunda shaharchasi,438,1706219
275,1706219811,ССГ Каган,Kogon QFY,438,1706219
276,1706219814,ССГ Хужа Якшаба,Xo‘ja Yakshaba QFY,438,1706219
277,1706219816,ССГ Гулистон,Guliston QFY,438,1706219
278,1706219818,ССГ Янги хает,Yangi xayot QFY,438,1706219
279,1706219822,ССГ Нурафшон,Nurafshon QFY,438,1706219
281,1706219833,ССГ Ниёзхожи,Niyozhoji QFY,438,1706219
282,1706219836,ССГ Сараен,Sarayon QFY,438,1706219
283,1706219844,ССГ Накшбанди,B.Naqshband QFY,438,1706219
284,1706230501,город Каракуль,Qorako‘l shahri,440,1706230
285,1706230552,городской посёлок Бандбоши,Bandboshi shaharchasi,440,1706230
286,1706230553,городской посёлок Даргабоги,Darg‘abog‘i shaharchasi,440,1706230
287,1706230554,городской посёлок Джигачи,Jig‘achi shaharchasi,440,1706230
288,1706230555,городской посёлок Корахожи,Qorahoji shaharchasi,440,1706230
289,1706230556,городской посёлок Куввача,Quvvacha shaharchasi,440,1706230
290,1706230557,городской посёлок Мирзакалъа,Mirzaqal’a shaharchasi,440,1706230
291,1706230558,городской посёлок Сайед,Sayyod shaharchasi,440,1706230
292,1706230559,городской посёлок Солур,Solur shaharchasi,440,1706230
293,1706230561,городской посёлок Чандирабад,Chandirobod shaharchasi,440,1706230
294,1706230562,городской посёлок Шуррабад,Sho‘rabot shaharchasi,440,1706230
295,1706230563,городской посёлок Якка Аълам,Yakka A’lam shaharchasi,440,1706230
296,1706230564,городской посёлок Янгикалъа,Yangiqal’a shaharchasi,440,1706230
297,1706230806,ССГ Даргали,Darg‘ali QFY,440,1706230
298,1706230809,ССГ Бандбаши,Bandboshi QFY,440,1706230
299,1706230813,ССГ Джигачи,Jig‘achi QFY,440,1706230
300,1706230815,ССГ Шурработ,Sho‘rrabot QFY,440,1706230
301,1706230825,ССГ Зиярат,Ziyorat QFY,440,1706230
302,1706230827,ССГ Кулончи,Kulonchi QFY,440,1706230
303,1706230832,ССГ Казан,Qozon QFY,440,1706230
304,1706230834,ССГ Куввача,Quvvacha QFY,440,1706230
305,1706230847,ССГ Караун,Qoraun QFY,440,1706230
306,1706230850,ССГ Каракуль,Qorako‘l QFY,440,1706230
307,1706230854,ССГ Чандир,Chandir QFY,440,1706230
308,1706230859,ССГ Саят,Sayyot QFY,440,1706230
309,1706230862,ССГ Маллаишайх,Mallaishayx QFY,440,1706230
310,1706230875,ССГ Куйи Янгибазар,Quyi Yangibozor QFY,440,1706230
311,1706230880,ССГ Караходжи,Qorahoji QFY,440,1706230
312,1706230885,ССГ Човли,Chovli QFY,440,1706230
313,1706232501,город Караулбазар,Qorovulbozor shahri,441,1706232
314,1706232803,ССГ Навбахор,Navbahor QFY,441,1706232
315,1706232807,ССГ Бустон,Bo‘ston QFY,441,1706232
316,1706232810,ССГ Бузачи,Buzachi QFY,441,1706232
317,1706232815,ССГ Жаркок,Jarqoq QFY,441,1706232
318,1706240551,городской посёлок Янгибозор,Yangibozor shaharchasi,443,1706240
319,1706240553,городской посёлок Пешку,Peshku shaharchasi,443,1706240
320,1706240555,городской посёлок Шавгон,Shavgon shaharchasi,443,1706240
321,1706240557,городской посёлок Махаллаи-Миришкор,Mahallai-Mirishkor shaharchasi,443,1706240
322,1706240802,ССГ им. Абу-Али-Ибн-Сино,Ibn Sino nomli QFY,443,1706240
323,1706240805,ССГ Варахша,Varaxsho QFY,443,1706240
324,1706240807,ССГ Джангельды,Jonkeldi QFY,443,1706240
325,1706240810,ССГ Зандани,Zandani QFY,443,1706240
326,1706240821,ССГ Калаймиришкар,Qal’ai Mirishkor QFY,443,1706240
327,1706240832,ССГ Пешку,Peshku QFY,443,1706240
328,1706240854,ССГ Янгибазар,Yangibozor QFY,443,1706240
329,1706240860,ССГ Богимуссо,Bog‘imuso QFY,443,1706240
330,1706240865,ССГ Каракалпак,Qoraqalpoq QFY,443,1706240
331,1706240870,ССГ Чибогони,Chibog‘oni QFY,443,1706240
332,1706242501,город Ромитан,Romitan shahri,444,1706242
333,1706242505,город Газли,Gazli shahri,444,1706242
334,1706242552,городской посёлок Кокиштувон,Qoqishtuvon shaharchasi,444,1706242
335,1706242554,городской посёлок Хоса,Xosa shaharchasi,444,1706242
336,1706242556,городской посёлок Юкори Газберон,Yuqori G‘azberon shaharchasi,444,1706242
337,1706242825,ССГ Кызылрават,Qizil Ravot QFY,444,1706242
338,1706242834,ССГ Ромитан,Romitan QFY,444,1706242
339,1706242864,ССГ Богитуркон,Bog‘iturkon QFY,444,1706242
340,1706242867,ССГ Чилангу,Chelong‘u QFY,444,1706242
341,1706242872,ССГ Шурча,Sho‘rcha QFY,444,1706242
342,1706242875,ССГ Курган,Qo‘rg‘on QFY,444,1706242
343,1706246551,городской посёлок Жондор,Jondor shaharchasi,437,1706246
344,1706246552,городской посёлок Пахлавон,Paxlavon shaharchasi,437,1706246
345,1706246553,городской посёлок Далмун,Dalmun shaharchasi,437,1706246
346,1706246554,городской посёлок Кулиен,Ko‘liyon shaharchasi,437,1706246
347,1706246555,городской посёлок Самончук,Samonchuq shaharchasi,437,1706246
348,1706246556,городской посёлок Тобагар,Tobagar shaharchasi,437,1706246
349,1706246557,городской посёлок Ушот,Ushot shaharchasi,437,1706246
350,1706246558,городской посёлок Хазорман,Xazorman shaharchasi,437,1706246
423,1708209848,ССГ Кокбулак,Ko‘kbuloq QFY,448,1708209
351,1706246559,городской посёлок Чорзона,Chorzona shaharchasi,437,1706246
352,1706246811,ССГ Дальмун,Dalmun QFY,437,1706246
353,1706246822,ССГ Кароли,Qaroli QFY,437,1706246
354,1706246825,ССГ Лола,Lolo QFY,437,1706246
355,1706246831,ССГ Ромиш,Romish QFY,437,1706246
356,1706246833,ССГ Зарафшон,Zarafshon QFY,437,1706246
357,1706246844,ССГ Охших,Oxshix QFY,437,1706246
358,1706246855,ССГ Хумданак,Xumdonak QFY,437,1706246
359,1706246866,ССГ Хумин,Xumini bolo QFY,437,1706246
360,1706246870,ССГ Мустакиллик,Mustaqillik QFY,437,1706246
361,1706246875,ССГ Пулоти,Po‘loti QFY,437,1706246
362,1706246880,ССГ Самончук,Samonchuq QFY,437,1706246
363,1706246885,ССГ Алели,Aleli QFY,437,1706246
364,1706246890,ССГ Мирзоен,Mirzayon QFY,437,1706246
365,1706258501,город Шафиркан,Shofirkon shahri,445,1706258
366,1706258552,городской посёлок Жуйрабад,Jo‘yrabot shaharchasi,445,1706258
367,1706258553,городской посёлок Искогаре,Iskogare shaharchasi,445,1706258
368,1706258554,городской посёлок Куйи Чукурак,Quyi Chuqurak shaharchasi,445,1706258
369,1706258555,городской посёлок Мирзокул,Mirzoqul shaharchasi,445,1706258
370,1706258556,городской посёлок Талисафед,Talisafed shaharchasi,445,1706258
371,1706258557,городской посёлок Ундаре,Undare shaharchasi,445,1706258
372,1706258558,городской посёлок Чандир,Chandir shaharchasi,445,1706258
373,1706258561,городской посёлок Гуломте,G‘ulomte shaharchasi,445,1706258
374,1706258805,ССГ Варданзе,Vargonze QFY,445,1706258
375,1706258811,ССГ Денау,Denov QFY,445,1706258
376,1706258822,ССГ Жуйнау,Jo‘ynav QFY,445,1706258
377,1706258828,ССГ Жуйработ,Jo‘yrabot QFY,445,1706258
378,1706258833,ССГ Дурмен,Do‘rmon QFY,445,1706258
379,1706258844,ССГ Саврак,Savrak QFY,445,1706258
380,1706258855,ССГ им. С. Джури,Sulton Jo‘ra QFY,445,1706258
381,1706258866,ССГ Тезгузар,Tezguzar QFY,445,1706258
382,1706258877,ССГ Мазлахон Чандир,Mazlaxon chandir QFY,445,1706258
383,1706258880,ССГ им. Ш. Хамраева,Sh.Hamroyev nomli QFY,445,1706258
384,1706258885,ССГ Искогаре,Iskogare QFY,445,1706258
385,1706258890,ССГ Богиафзал,Bog‘iafzal QFY,445,1706258
386,1708201551,городской посёлок Голиблар,G‘oliblar shaharchasi,446,1708201
387,1708201556,городской посёлок Гулбахор,Gulbahor shaharchasi,446,1708201
